anyons, CorrLen, exp len, q1 failure, q2 failure 
15, 32, 0, 0.1067, 0.1104
15, 32, 1, 0.1136, 0.1101
15, 32, 2, 0.1077, 0.1091
15, 32, 3, 0.1129, 0.1154
15, 32, 4, 0.112, 0.1101
15, 32, 5, 0.1106, 0.1097
15, 32, 6, 0.1067, 0.1099
15, 32, 7, 0.1096, 0.1056
15, 32, 8, 0.1096, 0.1121
15, 32, 9, 0.1144, 0.1075
15, 32, 10, 0.1152, 0.1129
15, 32, 11, 0.1224, 0.1222
15, 32, 12, 0.1207, 0.1246
15, 32, 13, 0.1321, 0.1392
15, 32, 14, 0.1263, 0.1369
15, 32, 15, 0.1392, 0.1422
15, 32, 16, 0.1386, 0.1383
15, 32, 17, 0.1413, 0.1412
15, 32, 18, 0.1502, 0.1445
15, 32, 19, 0.1457, 0.1449
15, 32, 20, 0.1366, 0.1333
15, 32, 21, 0.139, 0.1368
