anyons, CorrLen, exp len, q1 failure, q2 failure 
15, 32, 0, 0.1101, 0.1121
15, 32, 1, 0.1139, 0.1152
15, 32, 2, 0.1078, 0.1103
15, 32, 3, 0.1127, 0.1141
15, 32, 4, 0.1052, 0.1109
15, 32, 5, 0.1129, 0.1089
15, 32, 6, 0.1133, 0.1075
15, 32, 7, 0.1014, 0.1042
15, 32, 8, 0.1093, 0.1171
15, 32, 9, 0.1031, 0.1062
15, 32, 10, 0.1179, 0.1137
15, 32, 11, 0.1184, 0.1226
15, 32, 12, 0.12, 0.1172
15, 32, 13, 0.136, 0.1269
15, 32, 14, 0.1298, 0.1236
15, 32, 15, 0.139, 0.1389
15, 32, 16, 0.1373, 0.1417
15, 32, 17, 0.1415, 0.1437
15, 32, 18, 0.1471, 0.1434
15, 32, 19, 0.1463, 0.1477
15, 32, 20, 0.1314, 0.1313
15, 32, 21, 0.1401, 0.1396
