L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1, 0.3, 1, 16, 32, exactmanhat, 0.23074
40, 1, 0.7, 1, 16, 32, exactmanhat, 0.23027
40, 1, 0.8, 1, 16, 32, exactmanhat, 0.22972
40, 1, 0.5, 1, 8, 32, exactmanhat, 0.037005
40, 1, 0.4, 1, 16, 32, exactmanhat, 0.23114
40, 1, 0.6, 1, 16, 32, exactmanhat, 0.23756
40, 1, 0.2, 1, 8, 32, exactmanhat, 0.03457
40, 1, 0.0, 1, 16, 32, exactmanhat, 0.229755
40, 1, 0.5, 1, 16, 32, exactmanhat, 0.236295
40, 1, 0.6, 1, 8, 32, exactmanhat, 0.03776
40, 1, 0.4, 1, 12, 32, exactmanhat, 0.120845
40, 1, 0.9, 1, 8, 32, exactmanhat, 0.037665
40, 1, 0.3, 1, 8, 32, exactmanhat, 0.03604
40, 1, 0.5, 1, 12, 32, exactmanhat, 0.124905
40, 1, 0.0, 1, 8, 32, exactmanhat, 0.035945
40, 1, 0.2, 1, 16, 32, exactmanhat, 0.230825
40, 1, 0.8, 1, 12, 32, exactmanhat, 0.122525
40, 1, 0.1, 1, 8, 32, exactmanhat, 0.03556
40, 1, 0.0, 1, 12, 32, exactmanhat, 0.120785
40, 1, 0.7, 1, 8, 32, exactmanhat, 0.035955
40, 1, 0.9, 1, 12, 32, exactmanhat, 0.125295
40, 1, 0.1, 1, 12, 32, exactmanhat, 0.121055
40, 1, 0.9, 1, 16, 32, exactmanhat, 0.236565
40, 1, 0.6, 1, 12, 32, exactmanhat, 0.12692
40, 1, 0.2, 1, 12, 32, exactmanhat, 0.118535
40, 1, 0.8, 1, 8, 32, exactmanhat, 0.03606
40, 1, 0.1, 1, 16, 32, exactmanhat, 0.229895
40, 1, 0.7, 1, 12, 32, exactmanhat, 0.12141
40, 1, 0.3, 1, 12, 32, exactmanhat, 0.11993
40, 1, 0.4, 1, 8, 32, exactmanhat, 0.03574
