L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 10.0, 1, 4, 15, 32, gauss, 0.35175
40, 5.5, 1, 12, 15, 32, gauss, 0.1943
40, 6.5, 1, 19, 15, 32, gauss, 0.19645
40, 8.5, 1, 7, 15, 32, gauss, 0.2818
40, 0.0, 1, 7, 15, 32, gauss, 0.2092
40, 5.0, 1, 1, 15, 32, gauss, 0.19895
40, 8.0, 1, 11, 15, 32, gauss, 0.2574
40, 4.0, 1, 11, 15, 32, gauss, 0.19025
40, 5.0, 1, 4, 15, 32, gauss, 0.2001
40, 1.5, 1, 1, 15, 32, gauss, 0.2018
40, 1.0, 1, 12, 15, 32, gauss, 0.19755
40, 5.0, 1, 2, 15, 32, gauss, 0.2043
40, 6.5, 1, 12, 15, 32, gauss, 0.19625
40, 5.0, 1, 10, 15, 32, gauss, 0.18545
40, 6.5, 1, 8, 15, 32, gauss, 0.2068
40, 10.0, 1, 3, 15, 32, gauss, 0.3318
40, 8.5, 1, 17, 15, 32, gauss, 0.30545
40, 6.5, 1, 11, 15, 32, gauss, 0.19895
40, 8.5, 1, 8, 15, 32, gauss, 0.27075
40, 9.0, 1, 4, 15, 32, gauss, 0.28715
40, 4.0, 1, 8, 15, 32, gauss, 0.19165
40, 5.0, 1, 13, 15, 32, gauss, 0.1963
40, 6.5, 1, 17, 15, 32, gauss, 0.2074
40, 2.5, 1, 8, 15, 32, gauss, 0.2004
40, 7.5, 1, 19, 15, 32, gauss, 0.242
40, 8.0, 1, 20, 15, 32, gauss, 0.2594
40, 0.0, 1, 13, 15, 32, gauss, 0.2041
40, 4.0, 1, 7, 15, 32, gauss, 0.1969
40, 10.0, 1, 20, 15, 32, gauss, 0.3652
40, 5.0, 1, 20, 15, 32, gauss, 0.18865
40, 1.5, 1, 15, 15, 32, gauss, 0.20115
40, 5.5, 1, 18, 15, 32, gauss, 0.19675
40, 8.0, 1, 6, 15, 32, gauss, 0.25035
40, 4.5, 1, 16, 15, 32, gauss, 0.18845
40, 10.0, 1, 16, 15, 32, gauss, 0.36035
40, 6.5, 1, 18, 15, 32, gauss, 0.19595
40, 9.0, 1, 7, 15, 32, gauss, 0.30205
40, 7.0, 1, 11, 15, 32, gauss, 0.2199
40, 10.0, 1, 14, 15, 32, gauss, 0.38015
40, 0.0, 1, 18, 15, 32, gauss, 0.19525
40, 0.0, 1, 14, 15, 32, gauss, 0.21695
40, 1.5, 1, 11, 15, 32, gauss, 0.1983
40, 3.5, 1, 9, 15, 32, gauss, 0.1948
40, 4.5, 1, 8, 15, 32, gauss, 0.18795
40, 4.5, 1, 10, 15, 32, gauss, 0.18885
40, 9.0, 1, 9, 15, 32, gauss, 0.3007
40, 1.5, 1, 13, 15, 32, gauss, 0.2085
40, 4.0, 1, 10, 15, 32, gauss, 0.1894
40, 2.0, 1, 19, 15, 32, gauss, 0.189
40, 0.0, 1, 15, 15, 32, gauss, 0.21385
40, 1.0, 1, 13, 15, 32, gauss, 0.19065
