L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1, 0.1, 1, 8, 32, exactmanhat, 0.0338
40, 1, 0.3, 1, 16, 32, exactmanhat, 0.22245
40, 1, 0.7, 1, 16, 32, exactmanhat, 0.232
40, 1, 0.4, 1, 16, 32, exactmanhat, 0.23505
40, 1, 0.5, 1, 8, 32, exactmanhat, 0.03605
40, 1, 0.1, 1, 16, 32, exactmanhat, 0.22655
40, 1, 0.6, 1, 16, 32, exactmanhat, 0.23755
40, 1, 0.8, 1, 8, 32, exactmanhat, 0.03805
40, 1, 0.5, 1, 16, 32, exactmanhat, 0.2363
40, 1, 0.0, 1, 16, 32, exactmanhat, 0.2305
40, 1, 0.6, 1, 8, 32, exactmanhat, 0.0376
40, 1, 0.1, 1, 12, 32, exactmanhat, 0.11925
40, 1, 0.9, 1, 8, 32, exactmanhat, 0.03715
40, 1, 0.3, 1, 8, 32, exactmanhat, 0.035
40, 1, 0.0, 1, 12, 32, exactmanhat, 0.1219
40, 1, 0.0, 1, 8, 32, exactmanhat, 0.0345
40, 1, 0.8, 1, 12, 32, exactmanhat, 0.1209
40, 1, 0.2, 1, 8, 32, exactmanhat, 0.03335
40, 1, 0.5, 1, 12, 32, exactmanhat, 0.1297
40, 1, 0.7, 1, 8, 32, exactmanhat, 0.036
40, 1, 0.9, 1, 12, 32, exactmanhat, 0.12285
40, 1, 0.8, 1, 16, 32, exactmanhat, 0.2292
40, 1, 0.9, 1, 16, 32, exactmanhat, 0.237
40, 1, 0.3, 1, 12, 32, exactmanhat, 0.1198
40, 1, 0.4, 1, 12, 32, exactmanhat, 0.1182
40, 1, 0.2, 1, 16, 32, exactmanhat, 0.2296
40, 1, 0.7, 1, 12, 32, exactmanhat, 0.11975
40, 1, 0.2, 1, 12, 32, exactmanhat, 0.12155
40, 1, 0.6, 1, 12, 32, exactmanhat, 0.12405
40, 1, 0.4, 1, 8, 32, exactmanhat, 0.03655
