L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 2.5, 1, 14, 12, 32, gauss, 0.10995
40, 1.5, 1, 2, 16, 32, gauss, 0.2338
40, 0.5, 1, 1, 16, 32, gauss, 0.22815
40, 7.5, 1, 7, 12, 32, gauss, 0.13225
40, 3.5, 1, 6, 8, 32, gauss, 0.0398
40, 0.0, 1, 9, 8, 32, gauss, 0.0361
40, 6.0, 1, 12, 8, 32, gauss, 0.03375
40, 5.5, 1, 8, 16, 32, gauss, 0.22545
40, 6.5, 1, 11, 8, 32, gauss, 0.0335
40, 1.0, 1, 10, 16, 32, gauss, 0.24185
40, 0.5, 1, 7, 16, 32, gauss, 0.2423
40, 3.0, 1, 3, 12, 32, gauss, 0.1228
40, 5.5, 1, 12, 16, 32, gauss, 0.2229
40, 3.0, 1, 4, 16, 32, gauss, 0.2343
40, 0.0, 1, 12, 12, 32, gauss, 0.126
40, 6.0, 1, 8, 16, 32, gauss, 0.2255
40, 2.0, 1, 3, 16, 32, gauss, 0.2377
40, 7.0, 1, 9, 8, 32, gauss, 0.03975
40, 2.5, 1, 3, 16, 32, gauss, 0.2386
40, 5.0, 1, 8, 12, 32, gauss, 0.113
40, 0.5, 1, 12, 8, 32, gauss, 0.043
40, 6.5, 1, 14, 8, 32, gauss, 0.0368
40, 5.5, 1, 1, 8, 32, gauss, 0.04295
40, 6.0, 1, 4, 12, 32, gauss, 0.1264
40, 3.0, 1, 2, 16, 32, gauss, 0.24115
40, 5.0, 1, 14, 8, 32, gauss, 0.033
40, 1.5, 1, 10, 8, 32, gauss, 0.03965
40, 0.0, 1, 10, 12, 32, gauss, 0.12945
40, 6.5, 1, 1, 16, 32, gauss, 0.24435
40, 7.5, 1, 8, 8, 32, gauss, 0.0407
40, 1.0, 1, 12, 8, 32, gauss, 0.03625
40, 4.5, 1, 2, 8, 32, gauss, 0.0408
40, 5.0, 1, 7, 8, 32, gauss, 0.03545
40, 1.5, 1, 8, 12, 32, gauss, 0.13345
40, 0.5, 1, 2, 16, 32, gauss, 0.22435
40, 4.0, 1, 14, 12, 32, gauss, 0.10995
40, 2.0, 1, 9, 12, 32, gauss, 0.12815
40, 7.5, 1, 10, 12, 32, gauss, 0.1339
40, 1.5, 1, 7, 16, 32, gauss, 0.23965
40, 1.0, 1, 5, 8, 32, gauss, 0.0393
40, 4.0, 1, 5, 8, 32, gauss, 0.0399
40, 5.5, 1, 8, 12, 32, gauss, 0.1199
40, 5.5, 1, 4, 8, 32, gauss, 0.03975
40, 4.5, 1, 7, 12, 32, gauss, 0.1161
40, 7.0, 1, 3, 16, 32, gauss, 0.23545
40, 0.0, 1, 10, 16, 32, gauss, 0.235
40, 1.0, 1, 3, 16, 32, gauss, 0.23575
40, 2.0, 1, 4, 16, 32, gauss, 0.234
40, 5.5, 1, 12, 8, 32, gauss, 0.031
40, 7.0, 1, 8, 16, 32, gauss, 0.2422
40, 1.0, 1, 9, 8, 32, gauss, 0.0404
40, 0.5, 1, 6, 12, 32, gauss, 0.1235
40, 6.5, 1, 11, 12, 32, gauss, 0.11475
40, 0.5, 1, 4, 8, 32, gauss, 0.0366
40, 7.5, 1, 8, 16, 32, gauss, 0.25815
40, 2.5, 1, 12, 12, 32, gauss, 0.118
40, 3.5, 1, 1, 8, 32, gauss, 0.0383
40, 4.5, 1, 3, 16, 32, gauss, 0.2246
40, 6.0, 1, 2, 16, 32, gauss, 0.2342
40, 7.0, 1, 5, 12, 32, gauss, 0.12705
40, 4.0, 1, 10, 8, 32, gauss, 0.0366
40, 6.0, 1, 8, 8, 32, gauss, 0.03535
40, 3.5, 1, 12, 16, 32, gauss, 0.2197
40, 2.5, 1, 1, 16, 32, gauss, 0.2336
40, 5.5, 1, 13, 12, 32, gauss, 0.11195
40, 1.0, 1, 1, 12, 32, gauss, 0.12095
40, 1.0, 1, 14, 16, 32, gauss, 0.2228
40, 6.0, 1, 5, 16, 32, gauss, 0.2293
40, 0.5, 1, 7, 12, 32, gauss, 0.12675
40, 2.0, 1, 14, 8, 32, gauss, 0.0338
40, 7.0, 1, 10, 12, 32, gauss, 0.12945
40, 0.0, 1, 5, 16, 32, gauss, 0.2364
40, 5.0, 1, 11, 12, 32, gauss, 0.1107
40, 3.0, 1, 8, 12, 32, gauss, 0.1176
40, 5.0, 1, 9, 16, 32, gauss, 0.2145
40, 1.5, 1, 1, 16, 32, gauss, 0.2276
40, 6.5, 1, 14, 12, 32, gauss, 0.12305
40, 5.5, 1, 2, 16, 32, gauss, 0.2324
40, 6.5, 1, 1, 12, 32, gauss, 0.1327
40, 2.5, 1, 13, 16, 32, gauss, 0.22005
40, 2.5, 1, 2, 8, 32, gauss, 0.03695
40, 4.0, 1, 2, 12, 32, gauss, 0.126
40, 6.5, 1, 4, 8, 32, gauss, 0.0398
40, 6.5, 1, 9, 12, 32, gauss, 0.12135
40, 3.0, 1, 6, 16, 32, gauss, 0.2357
40, 1.5, 1, 4, 8, 32, gauss, 0.039
40, 3.5, 1, 2, 12, 32, gauss, 0.1239
40, 2.5, 1, 6, 16, 32, gauss, 0.22855
40, 1.5, 1, 9, 12, 32, gauss, 0.13485
40, 3.0, 1, 1, 8, 32, gauss, 0.03845
40, 5.0, 1, 3, 8, 32, gauss, 0.04095
40, 2.0, 1, 12, 12, 32, gauss, 0.1225
40, 3.0, 1, 12, 12, 32, gauss, 0.11565
40, 0.0, 1, 7, 12, 32, gauss, 0.12465
40, 7.5, 1, 12, 16, 32, gauss, 0.2639
40, 6.5, 1, 2, 12, 32, gauss, 0.12755
40, 1.0, 1, 6, 8, 32, gauss, 0.03545
40, 2.5, 1, 7, 8, 32, gauss, 0.04365
40, 2.5, 1, 9, 16, 32, gauss, 0.22465
40, 4.5, 1, 11, 12, 32, gauss, 0.11485
40, 2.0, 1, 13, 16, 32, gauss, 0.2189
40, 3.5, 1, 2, 8, 32, gauss, 0.0374
40, 6.5, 1, 3, 8, 32, gauss, 0.04275
40, 6.5, 1, 4, 12, 32, gauss, 0.1268
40, 7.5, 1, 2, 8, 32, gauss, 0.0462
40, 0.0, 1, 8, 16, 32, gauss, 0.24245
40, 7.0, 1, 13, 16, 32, gauss, 0.2454
40, 7.0, 1, 8, 8, 32, gauss, 0.0439
40, 1.0, 1, 13, 12, 32, gauss, 0.11605
40, 2.0, 1, 4, 8, 32, gauss, 0.0388
40, 2.0, 1, 10, 16, 32, gauss, 0.2312
40, 6.0, 1, 11, 16, 32, gauss, 0.2181
40, 4.5, 1, 8, 12, 32, gauss, 0.11595
40, 2.0, 1, 11, 8, 32, gauss, 0.0416
40, 2.0, 1, 7, 12, 32, gauss, 0.1305
40, 6.0, 1, 1, 12, 32, gauss, 0.1312
40, 2.5, 1, 5, 12, 32, gauss, 0.1277
40, 5.0, 1, 7, 12, 32, gauss, 0.1134
40, 3.0, 1, 9, 8, 32, gauss, 0.04185
40, 1.5, 1, 13, 16, 32, gauss, 0.22765
40, 4.0, 1, 14, 8, 32, gauss, 0.0345
40, 3.5, 1, 6, 12, 32, gauss, 0.1228
40, 0.5, 1, 14, 12, 32, gauss, 0.11675
40, 6.5, 1, 6, 12, 32, gauss, 0.1257
40, 7.5, 1, 12, 8, 32, gauss, 0.0418
40, 5.5, 1, 5, 8, 32, gauss, 0.0352
40, 1.5, 1, 4, 16, 32, gauss, 0.24005
40, 7.5, 1, 13, 8, 32, gauss, 0.04265
40, 6.0, 1, 1, 16, 32, gauss, 0.23685
40, 2.5, 1, 7, 16, 32, gauss, 0.2358
40, 5.0, 1, 2, 12, 32, gauss, 0.12535
