L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1, 0.1, 1, 8, 32, exactmanhat, 0.0368
40, 1, 0.3, 1, 16, 32, exactmanhat, 0.23265
40, 1, 0.7, 1, 16, 32, exactmanhat, 0.22575
40, 1, 0.4, 1, 16, 32, exactmanhat, 0.233
40, 1, 0.5, 1, 8, 32, exactmanhat, 0.03825
40, 1, 0.4, 1, 12, 32, exactmanhat, 0.1227
40, 1, 0.1, 1, 16, 32, exactmanhat, 0.2286
40, 1, 0.6, 1, 16, 32, exactmanhat, 0.2414
40, 1, 0.2, 1, 8, 32, exactmanhat, 0.03405
40, 1, 0.5, 1, 16, 32, exactmanhat, 0.22995
40, 1, 0.0, 1, 16, 32, exactmanhat, 0.22935
40, 1, 0.6, 1, 8, 32, exactmanhat, 0.03875
40, 1, 0.1, 1, 12, 32, exactmanhat, 0.1162
40, 1, 0.9, 1, 8, 32, exactmanhat, 0.03995
40, 1, 0.3, 1, 8, 32, exactmanhat, 0.033
40, 1, 0.5, 1, 12, 32, exactmanhat, 0.12345
40, 1, 0.0, 1, 8, 32, exactmanhat, 0.0383
40, 1, 0.2, 1, 12, 32, exactmanhat, 0.12185
40, 1, 0.4, 1, 8, 32, exactmanhat, 0.0353
40, 1, 0.0, 1, 12, 32, exactmanhat, 0.12415
40, 1, 0.7, 1, 8, 32, exactmanhat, 0.0367
40, 1, 0.9, 1, 12, 32, exactmanhat, 0.12425
40, 1, 0.8, 1, 16, 32, exactmanhat, 0.22915
40, 1, 0.9, 1, 16, 32, exactmanhat, 0.2366
40, 1, 0.3, 1, 12, 32, exactmanhat, 0.11455
40, 1, 0.8, 1, 12, 32, exactmanhat, 0.11725
40, 1, 0.2, 1, 16, 32, exactmanhat, 0.23205
40, 1, 0.7, 1, 12, 32, exactmanhat, 0.12015
40, 1, 0.6, 1, 12, 32, exactmanhat, 0.12685
40, 1, 0.8, 1, 8, 32, exactmanhat, 0.0375
