L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1.5, 1, 2, 16, 32, gauss, 0.2215
40, 0.5, 1, 1, 16, 32, gauss, 0.2165
40, 7.5, 1, 7, 12, 32, gauss, 0.1385
40, 3.5, 1, 6, 8, 32, gauss, 0.04
40, 0.0, 1, 9, 8, 32, gauss, 0.038
40, 6.0, 1, 12, 8, 32, gauss, 0.0275
40, 5.5, 1, 8, 16, 32, gauss, 0.2345
40, 5.5, 1, 4, 8, 32, gauss, 0.042
40, 6.5, 1, 11, 8, 32, gauss, 0.032
40, 1.0, 1, 10, 16, 32, gauss, 0.244
40, 0.5, 1, 7, 16, 32, gauss, 0.243
40, 3.0, 1, 3, 12, 32, gauss, 0.126
40, 7.5, 1, 12, 16, 32, gauss, 0.257
40, 3.0, 1, 4, 16, 32, gauss, 0.244
40, 0.0, 1, 12, 12, 32, gauss, 0.1065
40, 6.0, 1, 8, 16, 32, gauss, 0.22
40, 5.5, 1, 5, 8, 32, gauss, 0.0365
40, 2.0, 1, 3, 16, 32, gauss, 0.2425
40, 7.0, 1, 9, 8, 32, gauss, 0.0405
40, 3.5, 1, 3, 16, 32, gauss, 0.2295
40, 5.0, 1, 8, 12, 32, gauss, 0.0975
40, 0.5, 1, 12, 8, 32, gauss, 0.039
40, 4.5, 1, 14, 8, 32, gauss, 0.034
40, 4.5, 1, 1, 8, 32, gauss, 0.042
40, 6.0, 1, 4, 12, 32, gauss, 0.1375
40, 3.0, 1, 2, 16, 32, gauss, 0.2395
40, 5.0, 1, 14, 8, 32, gauss, 0.0305
40, 1.5, 1, 10, 8, 32, gauss, 0.0395
40, 3.5, 1, 10, 12, 32, gauss, 0.1045
40, 4.5, 1, 1, 16, 32, gauss, 0.2325
40, 7.5, 1, 8, 8, 32, gauss, 0.0395
40, 1.0, 1, 12, 8, 32, gauss, 0.038
40, 1.5, 1, 2, 8, 32, gauss, 0.031
40, 5.0, 1, 7, 8, 32, gauss, 0.038
40, 1.5, 1, 8, 12, 32, gauss, 0.1145
40, 0.5, 1, 2, 16, 32, gauss, 0.242
40, 4.0, 1, 14, 12, 32, gauss, 0.105
40, 2.0, 1, 9, 12, 32, gauss, 0.126
40, 4.5, 1, 10, 12, 32, gauss, 0.116
40, 1.5, 1, 7, 16, 32, gauss, 0.2225
40, 1.0, 1, 5, 8, 32, gauss, 0.0315
40, 4.0, 1, 5, 8, 32, gauss, 0.038
40, 5.5, 1, 8, 12, 32, gauss, 0.123
40, 2.5, 1, 4, 8, 32, gauss, 0.0375
40, 5.5, 1, 7, 12, 32, gauss, 0.1125
