L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1, 0.1, 1, 8, 32, exactmanhat, 0.02
40, 1, 0.3, 1, 16, 32, exactmanhat, 0.205
40, 1, 0.7, 1, 16, 32, exactmanhat, 0.24
40, 1, 0.2, 1, 16, 32, exactmanhat, 0.215
40, 1, 0.0, 1, 8, 32, exactmanhat, 0.025
40, 1, 0.8, 1, 16, 32, exactmanhat, 0.25
40, 1, 0.6, 1, 16, 32, exactmanhat, 0.16
40, 1, 0.2, 1, 8, 32, exactmanhat, 0.035
40, 1, 0.0, 1, 16, 32, exactmanhat, 0.225
40, 1, 0.5, 1, 16, 32, exactmanhat, 0.21
40, 1, 0.6, 1, 8, 32, exactmanhat, 0.03
40, 1, 0.4, 1, 12, 32, exactmanhat, 0.13
40, 1, 0.4, 1, 16, 32, exactmanhat, 0.26
40, 1, 0.9, 1, 8, 32, exactmanhat, 0.06
40, 1, 0.3, 1, 8, 32, exactmanhat, 0.02
40, 1, 0.5, 1, 12, 32, exactmanhat, 0.13
40, 1, 0.5, 1, 8, 32, exactmanhat, 0.04
40, 1, 0.2, 1, 12, 32, exactmanhat, 0.15
40, 1, 0.8, 1, 8, 32, exactmanhat, 0.04
40, 1, 0.0, 1, 12, 32, exactmanhat, 0.135
40, 1, 0.7, 1, 8, 32, exactmanhat, 0.05
40, 1, 0.9, 1, 12, 32, exactmanhat, 0.125
40, 1, 0.1, 1, 12, 32, exactmanhat, 0.1
40, 1, 0.9, 1, 16, 32, exactmanhat, 0.2
40, 1, 0.3, 1, 12, 32, exactmanhat, 0.105
40, 1, 0.8, 1, 12, 32, exactmanhat, 0.12
40, 1, 0.1, 1, 16, 32, exactmanhat, 0.26
40, 1, 0.7, 1, 12, 32, exactmanhat, 0.125
40, 1, 0.6, 1, 12, 32, exactmanhat, 0.165
40, 1, 0.4, 1, 8, 32, exactmanhat, 0.03
