L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 5.75, 1, 9.0, 15, 32, 0.35
40, 4.5, 1, 14.5, 15, 32, 0.42
40, 5.0, 1, 13.5, 15, 32, 0.36
40, 6.5, 1, 9.5, 15, 32, 0.44
40, 4.25, 1, 12.0, 15, 32, 0.35
40, 4.0, 1, 8.5, 15, 32, 0.45
40, 4.25, 1, 11.5, 15, 32, 0.44
40, 4.75, 1, 14.0, 15, 32, 0.31
40, 5.5, 1, 11.0, 15, 32, 0.4
40, 6.5, 1, 6.0, 15, 32, 0.46
40, 5.5, 1, 13.5, 15, 32, 0.39
40, 5.25, 1, 13.5, 15, 32, 0.34
40, 5.5, 1, 5.0, 15, 32, 0.43
40, 6.75, 1, 11.5, 15, 32, 0.41
40, 5.5, 1, 12.0, 15, 32, 0.35
40, 4.5, 1, 8.0, 15, 32, 0.33
40, 4.0, 1, 11.5, 15, 32, 0.46
40, 4.5, 1, 10.0, 15, 32, 0.38
40, 5.0, 1, 8.0, 15, 32, 0.35
40, 5.0, 1, 5.5, 15, 32, 0.38
40, 6.75, 1, 6.5, 15, 32, 0.47
40, 6.25, 1, 12.5, 15, 32, 0.42
40, 5.25, 1, 8.0, 15, 32, 0.3
40, 6.5, 1, 5.0, 15, 32, 0.43
40, 4.0, 1, 10.0, 15, 32, 0.39
40, 4.5, 1, 11.0, 15, 32, 0.42
40, 5.25, 1, 10.0, 15, 32, 0.37
40, 4.0, 1, 6.0, 15, 32, 0.3
40, 5.5, 1, 6.5, 15, 32, 0.39
40, 5.75, 1, 10.0, 15, 32, 0.36
40, 4.0, 1, 7.5, 15, 32, 0.4
40, 6.5, 1, 8.0, 15, 32, 0.33
40, 6.0, 1, 13.0, 15, 32, 0.37
40, 5.75, 1, 8.5, 15, 32, 0.36
40, 5.75, 1, 10.5, 15, 32, 0.42
40, 5.75, 1, 12.0, 15, 32, 0.35
40, 5.0, 1, 12.5, 15, 32, 0.33
40, 6.0, 1, 13.5, 15, 32, 0.47
40, 4.5, 1, 13.5, 15, 32, 0.29
40, 6.0, 1, 10.0, 15, 32, 0.26
40, 6.75, 1, 7.5, 15, 32, 0.48
40, 4.75, 1, 7.5, 15, 32, 0.29
40, 4.75, 1, 7.0, 15, 32, 0.36
40, 5.5, 1, 10.5, 15, 32, 0.47
40, 6.25, 1, 7.0, 15, 32, 0.34
40, 5.0, 1, 6.5, 15, 32, 0.3
40, 5.75, 1, 8.0, 15, 32, 0.32
40, 4.25, 1, 13.5, 15, 32, 0.3
40, 5.0, 1, 11.0, 15, 32, 0.44
40, 4.75, 1, 5.0, 15, 32, 0.42
40, 5.25, 1, 14.0, 15, 32, 0.43
40, 5.5, 1, 11.5, 15, 32, 0.34
40, 5.0, 1, 7.5, 15, 32, 0.43
40, 4.0, 1, 9.0, 15, 32, 0.29
40, 5.25, 1, 6.0, 15, 32, 0.53
40, 6.0, 1, 7.5, 15, 32, 0.44
40, 4.75, 1, 5.5, 15, 32, 0.37
40, 5.75, 1, 6.0, 15, 32, 0.37
40, 4.75, 1, 8.5, 15, 32, 0.38
40, 6.75, 1, 8.5, 15, 32, 0.39
40, 5.5, 1, 8.5, 15, 32, 0.37
40, 5.25, 1, 7.5, 15, 32, 0.4
40, 6.25, 1, 12.0, 15, 32, 0.35
40, 4.75, 1, 11.5, 15, 32, 0.24
40, 6.25, 1, 13.5, 15, 32, 0.45
40, 5.0, 1, 5.0, 15, 32, 0.43
40, 4.25, 1, 9.0, 15, 32, 0.49
40, 5.0, 1, 11.5, 15, 32, 0.34
40, 4.75, 1, 14.5, 15, 32, 0.42
40, 4.0, 1, 12.5, 15, 32, 0.41
40, 6.5, 1, 6.5, 15, 32, 0.34
40, 6.75, 1, 13.0, 15, 32, 0.4
40, 4.5, 1, 13.0, 15, 32, 0.38
40, 6.75, 1, 8.0, 15, 32, 0.55
40, 5.25, 1, 9.0, 15, 32, 0.41
40, 6.75, 1, 5.0, 15, 32, 0.41
40, 5.5, 1, 14.0, 15, 32, 0.34
40, 4.75, 1, 13.0, 15, 32, 0.48
40, 6.5, 1, 13.5, 15, 32, 0.41
40, 4.5, 1, 10.5, 15, 32, 0.41
40, 6.25, 1, 10.5, 15, 32, 0.41
40, 4.75, 1, 12.0, 15, 32, 0.38
40, 5.5, 1, 6.0, 15, 32, 0.43
40, 6.0, 1, 9.0, 15, 32, 0.28
40, 6.0, 1, 14.0, 15, 32, 0.41
40, 6.0, 1, 10.5, 15, 32, 0.53
40, 6.0, 1, 5.0, 15, 32, 0.47
40, 4.25, 1, 14.0, 15, 32, 0.42
40, 4.5, 1, 7.5, 15, 32, 0.28
40, 6.5, 1, 14.5, 15, 32, 0.4
40, 5.75, 1, 11.0, 15, 32, 0.3
40, 5.25, 1, 8.5, 15, 32, 0.39
40, 4.5, 1, 12.0, 15, 32, 0.31
40, 6.0, 1, 14.5, 15, 32, 0.47
40, 5.5, 1, 5.5, 15, 32, 0.43
40, 5.0, 1, 12.0, 15, 32, 0.38
40, 6.25, 1, 8.0, 15, 32, 0.46
40, 5.75, 1, 13.0, 15, 32, 0.51
40, 6.25, 1, 8.5, 15, 32, 0.37
40, 6.75, 1, 7.0, 15, 32, 0.47
40, 5.25, 1, 5.0, 15, 32, 0.43
40, 6.75, 1, 13.5, 15, 32, 0.43
40, 6.0, 1, 12.5, 15, 32, 0.27
40, 4.75, 1, 13.5, 15, 32, 0.31
40, 4.25, 1, 5.0, 15, 32, 0.35
40, 6.75, 1, 14.0, 15, 32, 0.39
40, 5.25, 1, 10.5, 15, 32, 0.38
40, 5.75, 1, 13.5, 15, 32, 0.41
40, 6.0, 1, 8.5, 15, 32, 0.38
40, 6.5, 1, 7.5, 15, 32, 0.39
40, 4.75, 1, 10.0, 15, 32, 0.43
40, 5.0, 1, 6.0, 15, 32, 0.48
40, 5.25, 1, 11.0, 15, 32, 0.41
40, 5.5, 1, 7.5, 15, 32, 0.35
40, 5.75, 1, 5.0, 15, 32, 0.47
40, 5.75, 1, 7.0, 15, 32, 0.39
40, 6.25, 1, 6.5, 15, 32, 0.43
40, 5.5, 1, 10.0, 15, 32, 0.37
40, 6.75, 1, 6.0, 15, 32, 0.31
40, 4.0, 1, 6.5, 15, 32, 0.37
40, 5.0, 1, 14.0, 15, 32, 0.43
40, 6.0, 1, 5.5, 15, 32, 0.25
40, 4.75, 1, 6.0, 15, 32, 0.37
40, 5.0, 1, 9.0, 15, 32, 0.31
40, 4.75, 1, 9.0, 15, 32, 0.36
40, 5.75, 1, 14.5, 15, 32, 0.49
40, 6.25, 1, 11.0, 15, 32, 0.57
40, 4.0, 1, 9.5, 15, 32, 0.42
40, 6.0, 1, 6.5, 15, 32, 0.36
40, 4.25, 1, 7.5, 15, 32, 0.39
40, 4.0, 1, 13.0, 15, 32, 0.34
40, 6.75, 1, 10.5, 15, 32, 0.36
40, 4.5, 1, 11.5, 15, 32, 0.43
40, 6.5, 1, 13.0, 15, 32, 0.36
40, 4.5, 1, 5.0, 15, 32, 0.48
40, 6.5, 1, 7.0, 15, 32, 0.43
40, 6.5, 1, 8.5, 15, 32, 0.43
40, 4.25, 1, 11.0, 15, 32, 0.36
40, 5.25, 1, 6.5, 15, 32, 0.33
40, 6.25, 1, 14.0, 15, 32, 0.45
40, 6.0, 1, 12.0, 15, 32, 0.35
40, 5.5, 1, 14.5, 15, 32, 0.56
40, 6.75, 1, 5.5, 15, 32, 0.43
40, 5.0, 1, 14.5, 15, 32, 0.47
40, 4.25, 1, 14.5, 15, 32, 0.5
40, 4.0, 1, 8.0, 15, 32, 0.34
40, 4.5, 1, 6.5, 15, 32, 0.31
40, 6.25, 1, 13.0, 15, 32, 0.4
40, 6.75, 1, 10.0, 15, 32, 0.54
40, 5.5, 1, 12.5, 15, 32, 0.33
40, 5.25, 1, 12.5, 15, 32, 0.37
40, 5.25, 1, 9.5, 15, 32, 0.28
40, 5.25, 1, 11.5, 15, 32, 0.33
40, 5.0, 1, 10.5, 15, 32, 0.37
40, 6.0, 1, 11.5, 15, 32, 0.34
40, 4.0, 1, 7.0, 15, 32, 0.32
40, 6.25, 1, 7.5, 15, 32, 0.48
40, 5.75, 1, 12.5, 15, 32, 0.41
40, 6.25, 1, 14.5, 15, 32, 0.31
40, 4.0, 1, 5.5, 15, 32, 0.43
40, 4.25, 1, 7.0, 15, 32, 0.38
40, 4.75, 1, 8.0, 15, 32, 0.39
40, 4.75, 1, 10.5, 15, 32, 0.38
40, 6.5, 1, 14.0, 15, 32, 0.36
40, 6.0, 1, 11.0, 15, 32, 0.32
40, 5.75, 1, 5.5, 15, 32, 0.4
40, 6.0, 1, 7.0, 15, 32, 0.51
40, 6.75, 1, 12.5, 15, 32, 0.46
40, 6.5, 1, 5.5, 15, 32, 0.36
40, 4.5, 1, 5.5, 15, 32, 0.41
40, 6.75, 1, 9.0, 15, 32, 0.34
40, 5.75, 1, 11.5, 15, 32, 0.35
40, 6.75, 1, 11.0, 15, 32, 0.37
40, 4.25, 1, 6.5, 15, 32, 0.45
40, 4.75, 1, 12.5, 15, 32, 0.41
40, 4.25, 1, 6.0, 15, 32, 0.46
40, 5.0, 1, 10.0, 15, 32, 0.43
40, 5.0, 1, 13.0, 15, 32, 0.46
40, 5.75, 1, 7.5, 15, 32, 0.35
40, 4.0, 1, 13.5, 15, 32, 0.34
40, 6.25, 1, 9.0, 15, 32, 0.38
40, 6.5, 1, 10.5, 15, 32, 0.36
40, 4.0, 1, 14.0, 15, 32, 0.43
40, 4.5, 1, 8.5, 15, 32, 0.4
40, 6.25, 1, 11.5, 15, 32, 0.39
40, 4.0, 1, 12.0, 15, 32, 0.3
40, 5.25, 1, 12.0, 15, 32, 0.47
40, 4.25, 1, 12.5, 15, 32, 0.45
40, 4.5, 1, 14.0, 15, 32, 0.37
40, 5.5, 1, 8.0, 15, 32, 0.32
40, 6.25, 1, 6.0, 15, 32, 0.47
40, 6.5, 1, 10.0, 15, 32, 0.46
40, 4.0, 1, 10.5, 15, 32, 0.35
40, 4.25, 1, 10.0, 15, 32, 0.33
40, 5.5, 1, 7.0, 15, 32, 0.33
40, 4.75, 1, 9.5, 15, 32, 0.46
40, 5.25, 1, 14.5, 15, 32, 0.4
40, 4.5, 1, 7.0, 15, 32, 0.32
40, 5.25, 1, 5.5, 15, 32, 0.32
40, 5.5, 1, 9.5, 15, 32, 0.34
40, 5.5, 1, 9.0, 15, 32, 0.43
40, 6.0, 1, 8.0, 15, 32, 0.37
40, 4.5, 1, 12.5, 15, 32, 0.37
40, 6.5, 1, 11.5, 15, 32, 0.36
40, 5.5, 1, 13.0, 15, 32, 0.41
40, 5.25, 1, 13.0, 15, 32, 0.43
40, 4.5, 1, 6.0, 15, 32, 0.38
40, 6.0, 1, 9.5, 15, 32, 0.46
40, 6.75, 1, 12.0, 15, 32, 0.41
40, 5.0, 1, 8.5, 15, 32, 0.42
40, 6.25, 1, 10.0, 15, 32, 0.46
40, 6.5, 1, 9.0, 15, 32, 0.37
40, 6.75, 1, 9.5, 15, 32, 0.47
40, 4.25, 1, 8.5, 15, 32, 0.4
40, 4.25, 1, 13.0, 15, 32, 0.37
40, 4.0, 1, 11.0, 15, 32, 0.29
40, 5.0, 1, 9.5, 15, 32, 0.42
40, 5.75, 1, 9.5, 15, 32, 0.4
40, 4.25, 1, 5.5, 15, 32, 0.4
40, 4.0, 1, 5.0, 15, 32, 0.37
40, 6.0, 1, 6.0, 15, 32, 0.41
40, 6.25, 1, 5.0, 15, 32, 0.33
40, 4.75, 1, 11.0, 15, 32, 0.33
40, 6.5, 1, 11.0, 15, 32, 0.39
40, 4.5, 1, 9.0, 15, 32, 0.3
40, 6.5, 1, 12.5, 15, 32, 0.42
40, 4.25, 1, 8.0, 15, 32, 0.4
40, 6.25, 1, 9.5, 15, 32, 0.38
40, 6.5, 1, 12.0, 15, 32, 0.4
40, 4.25, 1, 10.5, 15, 32, 0.35
40, 5.0, 1, 7.0, 15, 32, 0.35
40, 5.75, 1, 14.0, 15, 32, 0.43
40, 4.5, 1, 9.5, 15, 32, 0.32
40, 4.0, 1, 14.5, 15, 32, 0.32
40, 4.25, 1, 9.5, 15, 32, 0.34
40, 5.75, 1, 6.5, 15, 32, 0.53
40, 4.75, 1, 6.5, 15, 32, 0.4
40, 6.75, 1, 14.5, 15, 32, 0.4
40, 5.25, 1, 7.0, 15, 32, 0.49
40, 6.25, 1, 5.5, 15, 32, 0.3
