L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 4.8, 1, 11.3, 15, 32, gauss, 0.14
40, 5.25, 1, 11.2, 15, 32, gauss, 0.2
40, 5.45, 1, 12.7, 15, 32, gauss, 0.165
40, 4.6, 1, 11.0, 15, 32, gauss, 0.2
40, 4.9, 1, 11.4, 15, 32, gauss, 0.15
40, 4.7, 1, 11.4, 15, 32, gauss, 0.16
40, 5.1, 1, 11.3, 15, 32, gauss, 0.165
40, 5.3, 1, 12.2, 15, 32, gauss, 0.165
40, 5.45, 1, 12.3, 15, 32, gauss, 0.19
40, 5.15, 1, 12.7, 15, 32, gauss, 0.195
40, 4.55, 1, 12.4, 15, 32, gauss, 0.165
40, 4.85, 1, 11.7, 15, 32, gauss, 0.19
40, 4.55, 1, 11.2, 15, 32, gauss, 0.195
40, 5.1, 1, 12.9, 15, 32, gauss, 0.205
40, 4.55, 1, 11.5, 15, 32, gauss, 0.215
40, 4.75, 1, 11.2, 15, 32, gauss, 0.245
40, 5.15, 1, 12.1, 15, 32, gauss, 0.15
40, 5.1, 1, 11.7, 15, 32, gauss, 0.155
40, 4.65, 1, 12.3, 15, 32, gauss, 0.19
40, 5.2, 1, 12.3, 15, 32, gauss, 0.225
40, 5.4, 1, 11.1, 15, 32, gauss, 0.2
40, 4.75, 1, 11.3, 15, 32, gauss, 0.165
40, 5.35, 1, 11.6, 15, 32, gauss, 0.24
40, 4.65, 1, 11.0, 15, 32, gauss, 0.165
40, 5.45, 1, 12.2, 15, 32, gauss, 0.215
40, 5.45, 1, 11.5, 15, 32, gauss, 0.215
40, 4.6, 1, 11.9, 15, 32, gauss, 0.14
40, 4.65, 1, 11.9, 15, 32, gauss, 0.13
40, 4.7, 1, 12.3, 15, 32, gauss, 0.19
40, 4.65, 1, 12.9, 15, 32, gauss, 0.145
40, 5.2, 1, 11.4, 15, 32, gauss, 0.21
40, 4.5, 1, 12.8, 15, 32, gauss, 0.15
40, 4.6, 1, 12.3, 15, 32, gauss, 0.23
40, 5.45, 1, 11.2, 15, 32, gauss, 0.21
40, 5.0, 1, 11.6, 15, 32, gauss, 0.225
40, 5.35, 1, 12.1, 15, 32, gauss, 0.2
40, 5.4, 1, 12.0, 15, 32, gauss, 0.185
40, 4.8, 1, 11.6, 15, 32, gauss, 0.21
40, 5.25, 1, 12.7, 15, 32, gauss, 0.225
40, 4.55, 1, 12.8, 15, 32, gauss, 0.195
40, 4.5, 1, 11.4, 15, 32, gauss, 0.205
40, 4.5, 1, 12.6, 15, 32, gauss, 0.205
40, 5.1, 1, 11.2, 15, 32, gauss, 0.21
40, 5.1, 1, 12.1, 15, 32, gauss, 0.22
40, 5.45, 1, 12.0, 15, 32, gauss, 0.215
40, 5.2, 1, 12.9, 15, 32, gauss, 0.19
40, 4.75, 1, 11.8, 15, 32, gauss, 0.185
40, 4.5, 1, 12.7, 15, 32, gauss, 0.17
40, 5.25, 1, 11.5, 15, 32, gauss, 0.22
40, 5.15, 1, 12.4, 15, 32, gauss, 0.195
40, 5.05, 1, 12.7, 15, 32, gauss, 0.24
40, 5.2, 1, 12.4, 15, 32, gauss, 0.22
40, 5.45, 1, 11.7, 15, 32, gauss, 0.19
40, 5.0, 1, 12.6, 15, 32, gauss, 0.205
40, 4.6, 1, 12.2, 15, 32, gauss, 0.155
40, 5.2, 1, 12.1, 15, 32, gauss, 0.22
40, 5.25, 1, 11.9, 15, 32, gauss, 0.215
40, 5.45, 1, 11.1, 15, 32, gauss, 0.19
40, 5.0, 1, 11.3, 15, 32, gauss, 0.23
40, 4.75, 1, 11.7, 15, 32, gauss, 0.215
40, 4.7, 1, 12.7, 15, 32, gauss, 0.185
40, 4.65, 1, 12.4, 15, 32, gauss, 0.185
40, 5.0, 1, 12.1, 15, 32, gauss, 0.215
40, 5.2, 1, 11.5, 15, 32, gauss, 0.185
40, 5.0, 1, 12.9, 15, 32, gauss, 0.195
40, 5.0, 1, 12.3, 15, 32, gauss, 0.22
40, 5.2, 1, 11.8, 15, 32, gauss, 0.175
40, 5.45, 1, 12.8, 15, 32, gauss, 0.235
40, 5.0, 1, 11.7, 15, 32, gauss, 0.185
40, 5.1, 1, 12.2, 15, 32, gauss, 0.16
40, 4.5, 1, 11.8, 15, 32, gauss, 0.26
40, 4.75, 1, 11.0, 15, 32, gauss, 0.175
40, 4.5, 1, 11.6, 15, 32, gauss, 0.165
40, 4.85, 1, 12.1, 15, 32, gauss, 0.17
40, 5.05, 1, 11.6, 15, 32, gauss, 0.18
40, 4.8, 1, 11.1, 15, 32, gauss, 0.215
40, 5.2, 1, 12.7, 15, 32, gauss, 0.145
40, 4.9, 1, 12.2, 15, 32, gauss, 0.215
40, 4.9, 1, 12.8, 15, 32, gauss, 0.2
40, 4.6, 1, 12.1, 15, 32, gauss, 0.17
40, 4.55, 1, 11.1, 15, 32, gauss, 0.155
40, 5.45, 1, 11.0, 15, 32, gauss, 0.155
40, 4.7, 1, 12.0, 15, 32, gauss, 0.185
40, 5.3, 1, 12.7, 15, 32, gauss, 0.21
40, 5.3, 1, 11.4, 15, 32, gauss, 0.2
40, 5.05, 1, 12.3, 15, 32, gauss, 0.17
40, 5.3, 1, 11.1, 15, 32, gauss, 0.195
40, 4.9, 1, 12.1, 15, 32, gauss, 0.2
40, 4.5, 1, 11.5, 15, 32, gauss, 0.24
40, 5.2, 1, 11.9, 15, 32, gauss, 0.175
40, 5.4, 1, 12.6, 15, 32, gauss, 0.13
40, 4.9, 1, 12.3, 15, 32, gauss, 0.145
40, 5.3, 1, 12.9, 15, 32, gauss, 0.24
40, 5.35, 1, 12.8, 15, 32, gauss, 0.16
40, 5.3, 1, 12.4, 15, 32, gauss, 0.18
40, 5.15, 1, 11.5, 15, 32, gauss, 0.195
40, 4.85, 1, 12.2, 15, 32, gauss, 0.22
40, 5.05, 1, 11.0, 15, 32, gauss, 0.145
40, 5.35, 1, 12.0, 15, 32, gauss, 0.215
40, 5.25, 1, 12.8, 15, 32, gauss, 0.21
40, 5.3, 1, 11.8, 15, 32, gauss, 0.17
40, 4.6, 1, 11.6, 15, 32, gauss, 0.125
40, 5.0, 1, 12.4, 15, 32, gauss, 0.225
40, 5.15, 1, 12.0, 15, 32, gauss, 0.205
40, 4.65, 1, 12.7, 15, 32, gauss, 0.195
40, 5.0, 1, 11.2, 15, 32, gauss, 0.205
40, 4.85, 1, 11.0, 15, 32, gauss, 0.195
40, 4.55, 1, 11.4, 15, 32, gauss, 0.21
40, 4.65, 1, 11.4, 15, 32, gauss, 0.18
40, 4.95, 1, 12.4, 15, 32, gauss, 0.18
40, 4.6, 1, 11.8, 15, 32, gauss, 0.135
40, 5.05, 1, 11.2, 15, 32, gauss, 0.24
40, 5.3, 1, 11.9, 15, 32, gauss, 0.185
40, 4.55, 1, 12.5, 15, 32, gauss, 0.165
40, 5.25, 1, 12.6, 15, 32, gauss, 0.18
40, 4.9, 1, 12.0, 15, 32, gauss, 0.185
40, 5.05, 1, 12.6, 15, 32, gauss, 0.215
40, 5.3, 1, 12.8, 15, 32, gauss, 0.195
40, 4.8, 1, 11.4, 15, 32, gauss, 0.24
40, 5.1, 1, 11.6, 15, 32, gauss, 0.175
40, 5.0, 1, 12.2, 15, 32, gauss, 0.14
40, 5.3, 1, 12.5, 15, 32, gauss, 0.105
40, 4.65, 1, 12.6, 15, 32, gauss, 0.18
40, 4.8, 1, 12.5, 15, 32, gauss, 0.175
40, 4.65, 1, 11.8, 15, 32, gauss, 0.2
40, 4.9, 1, 11.0, 15, 32, gauss, 0.17
40, 4.95, 1, 11.7, 15, 32, gauss, 0.155
40, 5.2, 1, 12.5, 15, 32, gauss, 0.25
40, 5.1, 1, 12.4, 15, 32, gauss, 0.205
40, 4.5, 1, 11.2, 15, 32, gauss, 0.155
40, 4.9, 1, 11.8, 15, 32, gauss, 0.195
40, 4.65, 1, 12.5, 15, 32, gauss, 0.21
40, 4.9, 1, 12.9, 15, 32, gauss, 0.175
40, 4.95, 1, 12.9, 15, 32, gauss, 0.16
40, 5.2, 1, 11.2, 15, 32, gauss, 0.215
40, 5.05, 1, 12.4, 15, 32, gauss, 0.195
40, 4.75, 1, 11.4, 15, 32, gauss, 0.18
40, 5.4, 1, 11.6, 15, 32, gauss, 0.205
40, 4.8, 1, 12.3, 15, 32, gauss, 0.23
40, 5.35, 1, 12.4, 15, 32, gauss, 0.145
40, 5.35, 1, 11.8, 15, 32, gauss, 0.155
40, 5.0, 1, 11.1, 15, 32, gauss, 0.185
40, 5.15, 1, 12.5, 15, 32, gauss, 0.22
40, 4.8, 1, 12.1, 15, 32, gauss, 0.255
40, 4.85, 1, 11.9, 15, 32, gauss, 0.215
40, 5.35, 1, 12.6, 15, 32, gauss, 0.255
40, 4.5, 1, 12.9, 15, 32, gauss, 0.245
40, 5.15, 1, 11.3, 15, 32, gauss, 0.2
40, 4.5, 1, 11.0, 15, 32, gauss, 0.175
40, 5.0, 1, 11.4, 15, 32, gauss, 0.16
40, 4.6, 1, 12.6, 15, 32, gauss, 0.21
40, 5.0, 1, 12.5, 15, 32, gauss, 0.18
40, 5.4, 1, 12.8, 15, 32, gauss, 0.19
40, 5.3, 1, 11.3, 15, 32, gauss, 0.15
40, 4.7, 1, 12.6, 15, 32, gauss, 0.17
40, 4.5, 1, 12.2, 15, 32, gauss, 0.21
40, 5.15, 1, 12.6, 15, 32, gauss, 0.225
40, 4.95, 1, 11.9, 15, 32, gauss, 0.155
40, 5.0, 1, 12.0, 15, 32, gauss, 0.21
40, 5.2, 1, 12.2, 15, 32, gauss, 0.205
40, 5.25, 1, 12.1, 15, 32, gauss, 0.165
40, 4.9, 1, 12.5, 15, 32, gauss, 0.165
40, 4.6, 1, 11.7, 15, 32, gauss, 0.165
40, 4.95, 1, 12.1, 15, 32, gauss, 0.175
40, 5.25, 1, 12.4, 15, 32, gauss, 0.17
40, 4.95, 1, 11.1, 15, 32, gauss, 0.23
40, 5.0, 1, 12.8, 15, 32, gauss, 0.235
40, 4.6, 1, 12.0, 15, 32, gauss, 0.185
40, 5.25, 1, 11.4, 15, 32, gauss, 0.215
40, 5.45, 1, 12.5, 15, 32, gauss, 0.19
40, 5.3, 1, 12.6, 15, 32, gauss, 0.16
40, 4.75, 1, 12.3, 15, 32, gauss, 0.135
40, 5.2, 1, 11.3, 15, 32, gauss, 0.16
40, 5.1, 1, 12.3, 15, 32, gauss, 0.185
40, 5.35, 1, 12.5, 15, 32, gauss, 0.16
40, 4.9, 1, 11.9, 15, 32, gauss, 0.155
40, 4.8, 1, 12.0, 15, 32, gauss, 0.18
40, 5.35, 1, 12.9, 15, 32, gauss, 0.19
40, 4.85, 1, 11.3, 15, 32, gauss, 0.175
