L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 10.0, 1, 15, 15, 32, 0.722352941176
40, 4.0, 1, 16, 15, 32, 0.390294117647
40, 9.5, 1, 16, 15, 32, 0.667058823529
40, 9.0, 1, 11, 15, 32, 0.652058823529
40, 6.5, 1, 2, 15, 32, 0.432647058824
40, 9.0, 1, 14, 15, 32, 0.600588235294
40, 0.5, 1, 9, 15, 32, 0.399117647059
40, 6.5, 1, 10, 15, 32, 0.419705882353
40, 8.0, 1, 10, 15, 32, 0.557647058824
40, 2.0, 1, 1, 15, 32, 0.414117647059
40, 8.5, 1, 12, 15, 32, 0.565
40, 1.0, 1, 12, 15, 32, 0.382647058824
40, 5.5, 1, 2, 15, 32, 0.407647058824
40, 6.0, 1, 17, 15, 32, 0.392941176471
40, 4.5, 1, 8, 15, 32, 0.378823529412
40, 4.5, 1, 13, 15, 32, 0.382941176471
40, 2.5, 1, 7, 15, 32, 0.398235294118
40, 6.5, 1, 19, 15, 32, 0.405588235294
40, 10.0, 1, 17, 15, 32, 0.712058823529
40, 10.0, 1, 14, 15, 32, 0.765294117647
40, 4.0, 1, 19, 15, 32, 0.375294117647
40, 10.0, 1, 2, 15, 32, 0.650588235294
40, 4.0, 1, 9, 15, 32, 0.377352941176
40, 2.5, 1, 10, 15, 32, 0.394705882353
40, 3.5, 1, 18, 15, 32, 0.364411764706
40, 9.0, 1, 15, 15, 32, 0.594705882353
40, 3.0, 1, 16, 15, 32, 0.388235294118
40, 1.5, 1, 19, 15, 32, 0.404117647059
40, 9.0, 1, 3, 15, 32, 0.549705882353
40, 3.0, 1, 4, 15, 32, 0.423235294118
40, 7.5, 1, 3, 15, 32, 0.447647058824
40, 4.5, 1, 2, 15, 32, 0.407352941176
40, 2.0, 1, 20, 15, 32, 0.358529411765
40, 2.0, 1, 5, 15, 32, 0.418529411765
40, 5.5, 1, 7, 15, 32, 0.378823529412
40, 0.0, 1, 8, 15, 32, 0.431176470588
40, 1.0, 1, 13, 15, 32, 0.390588235294
40, 1.0, 1, 17, 15, 32, 0.413529411765
40, 2.5, 1, 12, 15, 32, 0.380294117647
40, 6.0, 1, 14, 15, 32, 0.385588235294
40, 5.5, 1, 11, 15, 32, 0.388235294118
40, 3.5, 1, 2, 15, 32, 0.405588235294
40, 8.5, 1, 4, 15, 32, 0.546764705882
40, 2.5, 1, 13, 15, 32, 0.385
40, 10.0, 1, 16, 15, 32, 0.715
40, 10.0, 1, 1, 15, 32, 0.587352941176
40, 4.0, 1, 8, 15, 32, 0.382058823529
40, 4.5, 1, 16, 15, 32, 0.342941176471
40, 4.0, 1, 4, 15, 32, 0.407647058824
40, 1.5, 1, 4, 15, 32, 0.441764705882
40, 8.5, 1, 17, 15, 32, 0.610882352941
40, 8.5, 1, 11, 15, 32, 0.573235294118
40, 9.5, 1, 5, 15, 32, 0.656764705882
40, 3.0, 1, 9, 15, 32, 0.400588235294
40, 3.0, 1, 20, 15, 32, 0.386764705882
40, 2.0, 1, 19, 15, 32, 0.386470588235
