L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 7.5, 1, 12, 8, 32, gauss, 0.0439361702128
40, 4.0, 1, 2, 8, 32, gauss, 0.0405319148936
40, 2.5, 1, 12, 8, 32, gauss, 0.0391489361702
40, 2.5, 1, 1, 8, 32, gauss, 0.0391489361702
40, 3.5, 1, 6, 8, 32, gauss, 0.0397872340426
40, 0.5, 1, 15, 8, 32, gauss, 0.0363829787234
40, 0.0, 1, 5, 8, 32, gauss, 0.0347872340426
40, 0.5, 1, 9, 8, 32, gauss, 0.0384042553191
40, 3.0, 1, 11, 8, 32, gauss, 0.0351063829787
40, 7.5, 1, 10, 8, 32, gauss, 0.041170212766
40, 7.5, 1, 8, 8, 32, gauss, 0.0395744680851
40, 4.5, 1, 2, 8, 32, gauss, 0.0404255319149
40, 4.5, 1, 4, 8, 32, gauss, 0.0396808510638
40, 0.0, 1, 11, 8, 32, gauss, 0.0355319148936
40, 1.5, 1, 12, 8, 32, gauss, 0.0395744680851
40, 6.0, 1, 16, 8, 32, gauss, 0.0360638297872
40, 6.0, 1, 2, 8, 32, gauss, 0.0402127659574
40, 5.0, 1, 13, 8, 32, gauss, 0.0339361702128
40, 1.5, 1, 8, 8, 32, gauss, 0.0376595744681
40, 0.5, 1, 16, 8, 32, gauss, 0.0378723404255
40, 7.0, 1, 10, 8, 32, gauss, 0.0358510638298
40, 4.0, 1, 3, 8, 32, gauss, 0.0445744680851
40, 6.0, 1, 1, 8, 32, gauss, 0.0431914893617
40, 7.5, 1, 5, 8, 32, gauss, 0.0408510638298
40, 5.5, 1, 5, 8, 32, gauss, 0.0375531914894
40, 7.5, 1, 15, 8, 32, gauss, 0.0447872340426
40, 6.5, 1, 7, 8, 32, gauss, 0.0385106382979
40, 7.5, 1, 14, 8, 32, gauss, 0.0429787234043
40, 7.0, 1, 9, 8, 32, gauss, 0.0406382978723
40, 0.0, 1, 13, 8, 32, gauss, 0.0371276595745
40, 3.0, 1, 6, 8, 32, gauss, 0.0373404255319
40, 7.0, 1, 3, 8, 32, gauss, 0.0418085106383
40, 2.0, 1, 7, 8, 32, gauss, 0.0398936170213
40, 7.0, 1, 14, 8, 32, gauss, 0.0420212765957
40, 0.0, 1, 12, 8, 32, gauss, 0.0384042553191
40, 0.5, 1, 5, 8, 32, gauss, 0.0401063829787
40, 6.5, 1, 1, 8, 32, gauss, 0.043085106383
40, 1.0, 1, 16, 8, 32, gauss, 0.0387234042553
40, 0.0, 1, 7, 8, 32, gauss, 0.0387234042553
40, 5.0, 1, 6, 8, 32, gauss, 0.0393617021277
