L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 3.0, 1, 11, 12, 32, gauss, 0.120531914894
40, 2.0, 1, 5, 12, 32, gauss, 0.127553191489
40, 6.0, 1, 5, 12, 32, gauss, 0.123723404255
40, 2.5, 1, 6, 12, 32, gauss, 0.125106382979
40, 1.0, 1, 3, 12, 32, gauss, 0.119042553191
40, 0.0, 1, 4, 12, 32, gauss, 0.120425531915
40, 7.0, 1, 8, 12, 32, gauss, 0.134255319149
40, 0.0, 1, 14, 12, 32, gauss, 0.130425531915
40, 3.0, 1, 6, 12, 32, gauss, 0.126914893617
40, 7.5, 1, 14, 12, 32, gauss, 0.143191489362
40, 3.0, 1, 2, 12, 32, gauss, 0.125319148936
40, 3.0, 1, 3, 12, 32, gauss, 0.126382978723
40, 2.0, 1, 3, 12, 32, gauss, 0.132446808511
40, 2.0, 1, 15, 12, 32, gauss, 0.104468085106
40, 0.0, 1, 12, 12, 32, gauss, 0.123617021277
40, 4.0, 1, 6, 12, 32, gauss, 0.112446808511
40, 2.5, 1, 2, 12, 32, gauss, 0.125212765957
40, 3.5, 1, 10, 12, 32, gauss, 0.11414893617
40, 5.5, 1, 16, 12, 32, gauss, 0.119574468085
40, 5.5, 1, 10, 12, 32, gauss, 0.109787234043
40, 6.0, 1, 12, 12, 32, gauss, 0.114361702128
40, 3.0, 1, 7, 12, 32, gauss, 0.121170212766
40, 0.0, 1, 8, 12, 32, gauss, 0.125212765957
40, 7.5, 1, 5, 12, 32, gauss, 0.136914893617
40, 0.5, 1, 13, 12, 32, gauss, 0.121063829787
40, 5.0, 1, 8, 12, 32, gauss, 0.108510638298
40, 1.0, 1, 13, 12, 32, gauss, 0.11414893617
40, 0.0, 1, 3, 12, 32, gauss, 0.115106382979
40, 5.0, 1, 13, 12, 32, gauss, 0.112765957447
40, 2.0, 1, 10, 12, 32, gauss, 0.123510638298
40, 4.0, 1, 7, 12, 32, gauss, 0.11670212766
40, 1.5, 1, 12, 12, 32, gauss, 0.124361702128
40, 1.5, 1, 5, 12, 32, gauss, 0.135
40, 6.0, 1, 4, 12, 32, gauss, 0.125531914894
40, 0.0, 1, 6, 12, 32, gauss, 0.121170212766
40, 3.5, 1, 1, 12, 32, gauss, 0.124042553191
40, 1.0, 1, 11, 12, 32, gauss, 0.12085106383
40, 0.0, 1, 10, 12, 32, gauss, 0.124255319149
40, 4.5, 1, 8, 12, 32, gauss, 0.112978723404
40, 0.0, 1, 9, 12, 32, gauss, 0.121170212766
40, 3.0, 1, 16, 12, 32, gauss, 0.110638297872
40, 5.0, 1, 5, 12, 32, gauss, 0.117978723404
40, 2.5, 1, 8, 12, 32, gauss, 0.114574468085
40, 6.5, 1, 12, 12, 32, gauss, 0.116382978723
40, 2.0, 1, 14, 12, 32, gauss, 0.111914893617
40, 4.5, 1, 3, 12, 32, gauss, 0.128936170213
