L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 6.5, 1, 10.0, 15, 32, 0.432
40, 5.75, 1, 9.0, 15, 32, 0.438
40, 5.75, 1, 6.5, 15, 32, 0.448
40, 4.5, 1, 14.5, 15, 32, 0.34
40, 5.5, 1, 11.5, 15, 32, 0.358
40, 6.25, 1, 12.5, 15, 32, 0.38
40, 4.0, 1, 6.5, 15, 32, 0.392
40, 5.25, 1, 13.0, 15, 32, 0.396
40, 4.75, 1, 14.5, 15, 32, 0.412
40, 5.75, 1, 11.0, 15, 32, 0.372
40, 4.75, 1, 6.0, 15, 32, 0.37
40, 5.5, 1, 13.5, 15, 32, 0.394
40, 4.0, 1, 11.5, 15, 32, 0.356
40, 5.25, 1, 13.5, 15, 32, 0.372
40, 6.5, 1, 5.0, 15, 32, 0.398
40, 6.75, 1, 11.5, 15, 32, 0.456
40, 5.25, 1, 12.0, 15, 32, 0.414
40, 6.5, 1, 8.0, 15, 32, 0.422
40, 4.0, 1, 8.5, 15, 32, 0.43
40, 5.75, 1, 10.0, 15, 32, 0.334
40, 5.0, 1, 8.0, 15, 32, 0.382
40, 5.0, 1, 5.5, 15, 32, 0.374
40, 6.75, 1, 6.5, 15, 32, 0.41
40, 5.5, 1, 14.5, 15, 32, 0.39
40, 4.5, 1, 8.0, 15, 32, 0.402
40, 4.0, 1, 10.0, 15, 32, 0.44
40, 6.5, 1, 11.0, 15, 32, 0.39
40, 4.5, 1, 10.0, 15, 32, 0.348
40, 4.0, 1, 6.0, 15, 32, 0.398
40, 5.5, 1, 6.5, 15, 32, 0.41
40, 5.75, 1, 5.5, 15, 32, 0.408
40, 6.5, 1, 5.5, 15, 32, 0.416
40, 4.25, 1, 8.0, 15, 32, 0.404
40, 6.0, 1, 13.0, 15, 32, 0.366
40, 5.75, 1, 8.5, 15, 32, 0.382
40, 5.75, 1, 10.5, 15, 32, 0.378
40, 4.75, 1, 12.0, 15, 32, 0.376
40, 5.0, 1, 12.5, 15, 32, 0.366
40, 6.0, 1, 13.5, 15, 32, 0.41
40, 4.5, 1, 13.5, 15, 32, 0.362
40, 6.0, 1, 10.0, 15, 32, 0.392
40, 6.75, 1, 7.5, 15, 32, 0.428
40, 5.0, 1, 9.5, 15, 32, 0.394
40, 4.75, 1, 7.0, 15, 32, 0.384
40, 5.5, 1, 10.5, 15, 32, 0.394
