L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 10.0, 1, 4, 15, 32, gauss, 0.33
40, 6.5, 1, 12, 15, 32, gauss, 0.24
40, 6.5, 1, 19, 15, 32, gauss, 0.22
40, 0.5, 1, 9, 15, 32, gauss, 0.21
40, 9.5, 1, 7, 15, 32, gauss, 0.23
40, 3.5, 1, 7, 15, 32, gauss, 0.21
40, 5.0, 1, 1, 15, 32, gauss, 0.25
40, 2.5, 1, 19, 15, 32, gauss, 0.22
40, 8.0, 1, 11, 15, 32, gauss, 0.26
40, 4.0, 1, 11, 15, 32, gauss, 0.19
40, 5.0, 1, 4, 15, 32, gauss, 0.25
40, 0.0, 1, 1, 15, 32, gauss, 0.21
40, 1.5, 1, 7, 15, 32, gauss, 0.23
40, 1.0, 1, 12, 15, 32, gauss, 0.22
40, 5.0, 1, 2, 15, 32, gauss, 0.21
40, 4.5, 1, 12, 15, 32, gauss, 0.2
40, 5.0, 1, 10, 15, 32, gauss, 0.2
40, 4.5, 1, 8, 15, 32, gauss, 0.22
40, 10.0, 1, 3, 15, 32, gauss, 0.3
40, 8.5, 1, 17, 15, 32, gauss, 0.24
40, 4.5, 1, 20, 15, 32, gauss, 0.23
40, 0.0, 1, 6, 15, 32, gauss, 0.18
40, 1.5, 1, 8, 15, 32, gauss, 0.23
40, 9.0, 1, 4, 15, 32, gauss, 0.3
40, 4.0, 1, 8, 15, 32, gauss, 0.23
40, 5.0, 1, 13, 15, 32, gauss, 0.23
40, 4.5, 1, 17, 15, 32, gauss, 0.2
40, 2.5, 1, 8, 15, 32, gauss, 0.25
40, 5.5, 1, 19, 15, 32, gauss, 0.17
40, 8.0, 1, 20, 15, 32, gauss, 0.2
40, 0.0, 1, 13, 15, 32, gauss, 0.27
40, 0.0, 1, 15, 15, 32, gauss, 0.2
40, 4.0, 1, 7, 15, 32, gauss, 0.2
40, 10.0, 1, 20, 15, 32, gauss, 0.36
40, 5.0, 1, 20, 15, 32, gauss, 0.24
40, 4.5, 1, 15, 15, 32, gauss, 0.19
40, 8.0, 1, 6, 15, 32, gauss, 0.23
40, 8.5, 1, 16, 15, 32, gauss, 0.23
40, 4.5, 1, 16, 15, 32, gauss, 0.21
40, 10.0, 1, 16, 15, 32, gauss, 0.37
40, 1.5, 1, 5, 15, 32, gauss, 0.21
40, 7.5, 1, 18, 15, 32, gauss, 0.38
40, 7.5, 1, 19, 15, 32, gauss, 0.2
40, 9.0, 1, 7, 15, 32, gauss, 0.29
40, 7.0, 1, 11, 15, 32, gauss, 0.27
40, 10.0, 1, 14, 15, 32, gauss, 0.29
