 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20,    20,    0.4922,    0.2817,    28.8155468084,    7.36013145484
22.22,    18,    0.4781,    0.2721,    28.8987184568,    6.94555338455
25,    16,    0.4732,    0.2475,    29.0021517293,    6.50105945973
28.57,    14,    0.4576,    0.2272,    29.101386623,    6.04276700612
33.33,    12,    0.4202,    0.202,    29.222381922,    5.53269609521
40,    10,    0.3619,    0.1638,    29.3329324411,    4.96872361859
50,    8,    0.2789,    0.115,    29.450954419,    4.33555141939
66.66,    6,    0.1429,    0.0494,    29.5814043745,    3.61963049685
100,    4,    0.0209,    0.0063,    29.7101867401,    2.81369639968
200,    2,    0.0,    0.0,    29.8365583758,    1.95709075005
