 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
33.3333333333,    12,    0.403,    0.193,    29.2119601301,    5.52719406938,    2
33.3333333333,    12,    0.403,    0.224,    29.1967972392,    5.53812576324,    7
33.3333333333,    12,    0.405,    0.173,    29.1717595307,    5.54251792114,    8
33.3333333333,    12,    0.409,    0.224,    29.2081717685,    5.53078225388,    5
33.3333333333,    12,    0.416,    0.197,    29.2055276383,    5.5082391635,    0
33.3333333333,    12,    0.425,    0.207,    29.252850905,    5.54853697151,    1
33.3333333333,    12,    0.426,    0.197,    29.2174811529,    5.55959548607,    6
33.3333333333,    12,    0.428,    0.189,    29.2200257533,    5.51604265702,    4
33.3333333333,    12,    0.447,    0.205,    29.24666458,    5.54226681086,    3
33.3333333333,    12,    0.449,    0.209,    29.1617459602,    5.54210650974,    9
