 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
12.5,    5,    0.0,    0.0,    11.5775900687,    1.57261615793,    3
12.5,    5,    0.0,    0.0001,    11.4312624342,    1.57543077997,    8
12.5,    5,    0.0,    0.0001,    11.6130949348,    1.57456525463,    1
12.5,    5,    0.0,    0.0001,    11.6214408985,    1.57375622969,    0
12.5,    5,    0.0,    0.0002,    11.4744364287,    1.57288465206,    7
12.5,    5,    0.0001,    0.0,    11.5535450799,    1.57425356276,    4
12.5,    5,    0.0001,    0.0001,    11.5392553786,    1.57584047528,    5
12.5,    5,    0.0002,    0.0,    11.3771413097,    1.57429573073,    9
12.5,    5,    0.0002,    0.0,    11.5007756292,    1.57312789228,    6
12.5,    5,    0.0003,    0.0,    11.5941973309,    1.57451469944,    2
