 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
4,    32,    0.07,    0.0564,    17.5702508879,    1.98669533246,    0
4,    32,    0.0639,    0.0516,    17.5843544885,    1.98460368665,    1
4,    32,    0.0641,    0.0514,    17.5452645168,    1.98173535548,    2
4,    32,    0.0663,    0.0526,    17.609348749,    1.98283690946,    3
4,    32,    0.0703,    0.0575,    17.5830319989,    1.98354500589,    4
4,    32,    0.0698,    0.0579,    17.5883765398,    1.98086634566,    5
4,    32,    0.063,    0.0501,    17.5805596402,    1.9846982826,    6
4,    32,    0.0693,    0.056,    17.5537869579,    1.98032015926,    7
4,    32,    0.0662,    0.0533,    17.5922638634,    1.98624461979,    8
4,    32,    0.0642,    0.0527,    17.5760179141,    1.9877299479,    9
4,    32,    0.0643,    0.0514,    17.5710697457,    1.97774809429,    10
4,    32,    0.0617,    0.051,    17.5619586355,    1.98200442072,    11
4,    32,    0.0641,    0.0494,    17.5885204858,    1.98438716601,    12
4,    32,    0.0669,    0.0534,    17.5722714112,    1.98523678223,    13
4,    32,    0.068,    0.0547,    17.5736810024,    1.98140013752,    14
4,    32,    0.067,    0.0547,    17.5895949581,    1.98587141027,    15
4,    32,    0.0708,    0.0582,    17.5976044694,    1.98339395886,    16
4,    32,    0.0669,    0.0522,    17.5734677067,    1.98312725651,    17
4,    32,    0.0637,    0.0525,    17.5825808235,    1.98222528057,    18
4,    32,    0.061,    0.0492,    17.5636032326,    1.97985832527,    19
4,    32,    0.0697,    0.0564,    17.5750016619,    1.98306714199,    20
4,    32,    0.0648,    0.0531,    17.5523832173,    1.98349927246,    21
4,    32,    0.066,    0.0547,    17.5891614943,    1.98684493183,    22
4,    32,    0.0648,    0.0534,    17.5866391668,    1.98399540275,    23
4,    32,    0.0634,    0.0502,    17.5857774376,    1.98441792431,    24
4,    32,    0.0607,    0.0512,    17.572604867,    1.9793389317,    25
4,    32,    0.0584,    0.0465,    17.5989971235,    1.98306493027,    26
4,    32,    0.0724,    0.0586,    17.5892422133,    1.98199047676,    27
4,    32,    0.0624,    0.0499,    17.5964297902,    1.98547030517,    28
4,    32,    0.0647,    0.0538,    17.5763339887,    1.98425875441,    29
4,    32,    0.0641,    0.0524,    17.5904396336,    1.97959955633,    30
4,    32,    0.0631,    0.05,    17.5845500359,    1.98356040288,    31
