anyons, CorrLen, exp len, q1 failure, q2 failure 
0, 0, 0, 0.0, 0.0
6, 0, 0, 0.0, 0.0
12, 0, 0, 0.0, 0.0
18, 0, 0, 0.0, 0.0
24, 0, 0, 0.0, 0.0
30, 0, 0, 0.0, 0.0
36, 0, 0, 0.0, 0.0
42, 0, 0, 0.0, 0.0
48, 0, 0, 0.0, 0.0
54, 0, 0, 0.0, 0.0
60, 0, 0, 0.0, 0.0
66, 0, 0, 0.0, 0.0
72, 0, 0, 0.0, 0.0
78, 0, 0, 0.0, 0.0
84, 0, 0, 0.0, 0.0
90, 0, 0, 0.0, 0.0
96, 0, 0, 0.0, 0.0
102, 0, 0, 0.0, 0.0
108, 0, 0, 0.01, 0.0
114, 0, 0, 0.03, 0.02
120, 0, 0, 0.01, 0.03
126, 0, 0, 0.03, 0.01
132, 0, 0, 0.09, 0.08
138, 0, 0, 0.14, 0.12
144, 0, 0, 0.08, 0.16
150, 0, 0, 0.34, 0.19
156, 0, 0, 0.35, 0.25
162, 0, 0, 0.34, 0.34
168, 0, 0, 0.45, 0.42
174, 0, 0, 0.43, 0.51
180, 0, 0, 0.47, 0.3
186, 0, 0, 0.48, 0.4
192, 0, 0, 0.5, 0.44
198, 0, 0, 0.41, 0.52
204, 0, 0, 0.47, 0.51
210, 0, 0, 0.57, 0.49
216, 0, 0, 0.48, 0.51
222, 0, 0, 0.54, 0.48
228, 0, 0, 0.54, 0.46
234, 0, 0, 0.6, 0.57
240, 0, 0, 0.5, 0.43
246, 0, 0, 0.52, 0.56
252, 0, 0, 0.48, 0.53
258, 0, 0, 0.51, 0.48
264, 0, 0, 0.42, 0.57
270, 0, 0, 0.57, 0.49
276, 0, 0, 0.43, 0.54
282, 0, 0, 0.5, 0.49
288, 0, 0, 0.51, 0.4
294, 0, 0, 0.58, 0.52
300, 0, 0, 0.46, 0.58
306, 0, 0, 0.46, 0.56
