 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
12,    32,    0.49,    0.46,    19.303061606,    1.75603163889,    0
12,    32,    0.5,    0.43,    19.2519902053,    1.74130742379,    1
12,    32,    0.43,    0.38,    19.2892217316,    1.74924744885,    2
12,    32,    0.41,    0.47,    19.1993954939,    1.76055159516,    3
12,    32,    0.46,    0.37,    19.2393800567,    1.73807389029,    4
12,    32,    0.43,    0.43,    19.2814447337,    1.75428455842,    5
12,    32,    0.49,    0.45,    19.2347312588,    1.75465546365,    6
12,    32,    0.63,    0.45,    19.2058267975,    1.75459154216,    7
12,    32,    0.46,    0.49,    19.2694541502,    1.75836794976,    8
12,    32,    0.56,    0.41,    19.1470119096,    1.7447050014,    9
