anyons, CorrLen, exp len, q1 failure, q2 failure 
57, 1,    0, 0.3,  0.3
67, 1,    0, 0.2,  0.3
77, 1,    0, 0.4,  0.5
87, 1,    0, 0.3,  0.7
97, 1,    0, 0.4,  0.7
107, 1,    0, 0.6,  0.7
117, 1,    0, 0.4,  0.4
127, 1,    0, 0.6,  0.4
137, 1,    0, 0.8,  0.5
147, 1,    0, 0.3,  0.3
157, 1,    0, 0.0,  0.6
167, 1,    0, 0.4,  0.3
177, 1,    0, 0.3,  0.7
187, 1,    0, 0.5,  0.7
197, 1,    0, 0.7,  0.4
207, 1,    0, 0.4,  0.4
217, 1,    0, 0.7,  0.7
227, 1,    0, 0.4,  0.3
237, 1,    0, 0.7,  0.7
247, 1,    0, 0.3,  0.7
257, 1,    0, 0.4,  0.4
267, 1,    0, 0.3,  0.5
277, 1,    0, 0.5,  0.3
287, 1,    0, 0.5,  0.2
