 anyons , CorrLen , q1 failure , q2 failure, expected len
0, 1,    0.0, 0.0,  0
2, 1,    0.0, 0.0,  0
4, 1,    0.0, 0.0,  0
8, 1,    0.0, 0.0,  0
6, 1,    0.0, 0.0,  0
10, 1,    0.0, 0.0,  0
14, 1,    0.0, 0.0,  0
12, 1,    0.0, 0.0,  0
16, 1,    0.0, 0.0,  0
18, 1,    0.0, 0.0,  0
20, 1,    0.0, 0.0,  0
22, 1,    0.0, 0.0,  0
26, 1,    0.0, 0.0,  0
24, 1,    0.0, 0.0,  0
28, 1,    0.0, 0.0,  0
32, 1,    0.0, 0.0,  0
30, 1,    0.0, 0.0,  0
34, 1,    0.0, 0.0,  0
38, 1,    0.0, 0.0,  0
36, 1,    0.0, 0.0,  0
40, 1,    0.0, 0.0,  0
42, 1,    0.1, 0.0,  0
44, 1,    0.0, 0.0,  0
46, 1,    0.0, 0.0,  0
48, 1,    0.0, 0.0,  0
50, 1,    0.1, 0.0,  0
52, 1,    0.0, 0.0,  0
56, 1,    0.0, 0.0,  0
54, 1,    0.2, 0.0,  0
58, 1,    0.0, 0.6,  0
60, 1,    0.3, 0.3,  0
62, 1,    0.2, 0.2,  0
64, 1,    0.4, 0.2,  0
66, 1,    0.3, 0.3,  0
68, 1,    0.2, 0.5,  0
70, 1,    0.3, 0.4,  0
72, 1,    0.6, 0.5,  0
74, 1,    0.5, 0.4,  0
76, 1,    0.4, 0.5,  0
78, 1,    0.6, 0.4,  0
80, 1,    0.4, 0.4,  0
82, 1,    0.3, 0.7,  0
84, 1,    0.4, 0.7,  0
88, 1,    0.4, 0.4,  0
86, 1,    0.5, 0.3,  0
90, 1,    0.9, 0.5,  0
92, 1,    0.4, 0.5,  0
94, 1,    0.5, 0.2,  0
96, 1,    0.6, 0.4,  0
98, 1,    0.5, 0.6,  0
100, 1,    0.3, 0.4,  0
102, 1,    0.5, 0.5,  0
104, 1,    0.8, 0.4,  0
106, 1,    0.7, 0.5,  0
108, 1,    0.4, 0.5,  0
110, 1,    0.8, 0.4,  0
112, 1,    0.6, 0.3,  0
114, 1,    0.3, 0.6,  0
