 anyons , CorrLen , q1 failure , q2 failure, expected len
0, 1,    0.0, 0.0,  0.0
2, 1,    0.0, 0.0,  8.09722349773
4, 1,    0.0, 0.0,  9.32434176646
6, 1,    0.0, 0.0,  11.0056417057
8, 1,    0.0, 0.0,  11.4296972607
10, 1,    0.0, 0.0,  11.4019984791
12, 1,    0.0, 0.0,  11.5742285226
14, 1,    0.0, 0.0,  11.5563894538
16, 1,    0.0, 0.0,  11.7577688045
18, 1,    0.0, 0.0,  11.6988085443
20, 1,    0.0, 0.0,  11.8086788374
22, 1,    0.0, 0.0,  11.7303549725
24, 1,    0.0, 0.0,  11.8567277201
26, 1,    0.0, 0.0,  11.8361512812
28, 1,    0.0, 0.0,  11.7483050466
30, 1,    0.0, 0.0,  11.8439271461
32, 1,    0.0, 0.0,  11.8373880411
34, 1,    0.0, 0.0,  11.87389682
36, 1,    0.0, 0.0,  11.8951658162
38, 1,    0.0, 0.0,  11.8688053426
40, 1,    0.0, 0.0,  11.8811626841
42, 1,    0.0, 0.0,  11.8957107737
44, 1,    0.0, 0.0,  11.9105673377
46, 1,    0.0, 0.0,  11.9141861123
48, 1,    0.0, 0.1,  11.8780030944
50, 1,    0.1, 0.0,  11.9403548862
52, 1,    0.2, 0.0,  11.8950968787
54, 1,    0.0, 0.0,  11.9344010037
56, 1,    0.2, 0.2,  11.9429967833
58, 1,    0.2, 0.4,  11.9416392772
60, 1,    0.2, 0.1,  11.9593300647
62, 1,    0.2, 0.2,  11.9272803944
64, 1,    0.1, 0.1,  11.918791622
66, 1,    0.2, 0.2,  11.9415489474
68, 1,    0.3, 0.2,  11.94274119
70, 1,    0.1, 0.4,  11.9556869269
72, 1,    0.4, 0.2,  11.958834739
74, 1,    0.2, 0.6,  11.9498602404
76, 1,    0.3, 0.6,  11.9589492673
78, 1,    0.7, 0.5,  11.9623914956
80, 1,    0.3, 0.4,  11.9402671766
82, 1,    0.3, 0.4,  11.9524110537
84, 1,    0.6, 0.6,  11.9643508291
86, 1,    0.5, 0.4,  11.9454016842
88, 1,    0.9, 0.5,  11.9462502399
90, 1,    0.4, 0.3,  11.9529497113
92, 1,    0.8, 0.5,  11.9744584923
94, 1,    0.5, 0.9,  11.967873476
96, 1,    0.7, 0.3,  11.9595240205
98, 1,    0.6, 0.4,  11.9747267686
100, 1,    0.5, 0.8,  11.9621086364
102, 1,    0.5, 0.4,  11.9680695457
104, 1,    0.6, 0.3,  11.968622858
106, 1,    0.3, 0.4,  11.971051617
108, 1,    0.5, 0.7,  11.9572978668
110, 1,    0.2, 0.5,  11.9635243329
112, 1,    0.3, 0.4,  11.973250219
114, 1,    0.3, 0.4,  11.9661260606
