anyons, CorrLen, exp len, q1 failure, q2 failure 
0, 0, 0, 0.0, 0.0
6, 0, 0, 0.0, 0.0
12, 0, 0, 0.0, 0.0
18, 0, 0, 0.0, 0.0
24, 0, 0, 0.0, 0.0
30, 0, 0, 0.0, 0.0
36, 0, 0, 0.0, 0.0
42, 0, 0, 0.0, 0.0
48, 0, 0, 0.0, 0.0
54, 0, 0, 0.0, 0.0
60, 0, 0, 0.0, 0.0
66, 0, 0, 0.0, 0.0
72, 0, 0, 0.0, 0.0
78, 0, 0, 0.0, 0.0
84, 0, 0, 0.0, 0.0
90, 0, 0, 0.0, 0.0
96, 0, 0, 0.0, 0.0
102, 0, 0, 0.0, 0.0
108, 0, 0, 0.2, 0.0
114, 0, 0, 0.0, 0.0
120, 0, 0, 0.0, 0.1
126, 0, 0, 0.1, 0.0
132, 0, 0, 0.0, 0.0
138, 0, 0, 0.1, 0.1
144, 0, 0, 0.0, 0.0
150, 0, 0, 0.2, 0.3
156, 0, 0, 0.6, 0.2
162, 0, 0, 0.2, 0.2
168, 0, 0, 0.7, 0.3
174, 0, 0, 0.5, 0.3
180, 0, 0, 0.5, 0.4
186, 0, 0, 0.6, 0.3
192, 0, 0, 0.2, 0.5
198, 0, 0, 0.6, 0.3
204, 0, 0, 0.4, 0.2
210, 0, 0, 0.6, 0.5
216, 0, 0, 0.5, 0.4
222, 0, 0, 0.5, 0.6
228, 0, 0, 0.6, 0.4
234, 0, 0, 0.3, 0.6
240, 0, 0, 0.5, 0.8
246, 0, 0, 0.6, 0.6
252, 0, 0, 0.3, 0.6
258, 0, 0, 0.7, 0.8
264, 0, 0, 0.4, 0.3
270, 0, 0, 0.6, 0.4
276, 0, 0, 0.6, 0.4
282, 0, 0, 0.3, 0.3
288, 0, 0, 0.5, 0.8
294, 0, 0, 0.4, 0.6
300, 0, 0, 0.2, 0.7
306, 0, 0, 0.8, 0.5
