 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
12.5,    5,    0.0,    0.0,    11.2767755588,    1.57445038933,    3
12.5,    5,    0.0,    0.0,    11.3782619653,    1.59576425037,    8
12.5,    5,    0.0,    0.0,    11.3875433075,    1.5740998347,    4
12.5,    5,    0.0,    0.0,    11.420341354,    1.53597218993,    9
12.5,    5,    0.0,    0.0,    11.4342186923,    1.55773296303,    6
12.5,    5,    0.0,    0.0,    11.5742356558,    1.55252807507,    7
12.5,    5,    0.0,    0.0,    11.6476627722,    1.52566270284,    2
12.5,    5,    0.0,    0.0,    11.6522299839,    1.6317141353,    5
12.5,    5,    0.0,    0.0,    11.6901999821,    1.57263214241,    1
12.5,    5,    0.0,    0.0,    11.8281745755,    1.63915362297,    0
