 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
12,    32,    0.2,    0.6,    19.3392027977,    1.76198812566,    0
12,    32,    0.3,    0.3,    19.3590118005,    1.76520021117,    1
12,    32,    0.4,    0.2,    19.2370444043,    1.7241799414,    2
12,    32,    0.3,    0.5,    19.4300597785,    1.77800588704,    3
12,    32,    0.5,    0.2,    19.0865961046,    1.70647793295,    4
12,    32,    0.4,    0.5,    18.8868067634,    1.78903087689,    5
12,    32,    0.5,    0.5,    19.2315641762,    1.74108510267,    6
12,    32,    0.2,    0.4,    19.380935226,    1.77191425392,    7
12,    32,    0.3,    0.4,    19.3162120643,    1.75288117566,    8
12,    32,    0.5,    0.4,    19.1648338996,    1.76179297649,    9
