anyons, CorrLen, exp len, q1 failure, q2 failure 
0, 1, 0, 0.0, 0.0
5, 1, 0, 0.0, 0.0
10, 1, 0, 0.02, 0.04
15, 1, 0, 0.56, 1.0
20, 1, 0, 5.54, 4.76
25, 1, 0, 19.82, 19.14
30, 1, 0, 43.96, 44.46
35, 1, 0, 71.62, 69.26
40, 1, 0, 93.12, 93.4
45, 1, 0, 107.22, 108.3
50, 1, 0, 117.26, 117.9
55, 1, 0, 120.8, 119.46
60, 1, 0, 124.32, 124.98
65, 1, 0, 125.0, 124.18
70, 1, 0, 124.0, 124.06
75, 1, 0, 124.02, 126.44
80, 1, 0, 127.04, 125.88
85, 1, 0, 126.78, 124.68
90, 1, 0, 126.16, 123.24
95, 1, 0, 126.14, 124.58
