 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
12.5,    5,    0.0,    0.0,    10.710449516,    1.46428571429,    8
12.5,    5,    0.0,    0.0,    10.7497580373,    1.4,    7
12.5,    5,    0.0,    0.0,    10.9688261873,    1.59090909091,    9
12.5,    5,    0.0,    0.0,    11.147751562,    1.5625,    0
12.5,    5,    0.0,    0.0,    11.2843731939,    1.45833333333,    3
12.5,    5,    0.0,    0.0,    11.3330948582,    1.81818181818,    6
12.5,    5,    0.0,    0.0,    11.8136781022,    1.52,    1
12.5,    5,    0.0,    0.0,    12.0595944098,    2.05263157895,    4
12.5,    5,    0.0,    0.0,    12.1253182582,    1.68421052632,    5
12.5,    5,    0.0,    0.0,    12.3689425428,    1.45833333333,    2
