 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
12,    32,    0.0,    0.0,    19.3599239493,    1.80208333333,    0
12,    32,    1.0,    1.0,    19.6654037418,    1.70238095238,    1
12,    32,    1.0,    0.0,    19.7065909448,    1.76595744681,    2
12,    32,    0.0,    0.0,    19.2577667087,    1.87096774194,    3
12,    32,    0.0,    1.0,    19.3503700671,    1.78947368421,    4
12,    32,    0.0,    0.0,    18.8950194416,    1.8275862069,    5
12,    32,    1.0,    1.0,    18.7940006274,    1.625,    6
12,    32,    1.0,    1.0,    19.7929953836,    1.77528089888,    7
12,    32,    0.0,    0.0,    17.6839338413,    1.77380952381,    8
12,    32,    1.0,    0.0,    19.6688031381,    1.79120879121,    9
