 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
12,    32,    0.45835,    0.4326,    19.2935921212,    1.75068707447,    0
12,    32,    0.45595,    0.4362,    19.2877178813,    1.7492423986,    1
12,    32,    0.4556,    0.4358,    19.2794895517,    1.74878046,    2
12,    32,    0.46195,    0.44175,    19.2768329629,    1.74860163729,    3
12,    32,    0.47035,    0.43605,    19.2653727311,    1.75000734449,    4
12,    32,    0.45595,    0.4394,    19.258242082,    1.74939994035,    5
12,    32,    0.4714,    0.43995,    19.2350449104,    1.75130534935,    6
12,    32,    0.46855,    0.44345,    19.2192835281,    1.74859791317,    7
12,    32,    0.46835,    0.4411,    19.2056772112,    1.74895067123,    8
12,    32,    0.4676,    0.4433,    19.1786699605,    1.74882681526,    9
