 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
4,    32,    0.069,    0.0615,    17.6182021862,    1.98391129767,    0
4,    32,    0.0565,    0.0485,    17.5136960042,    1.98033309239,    1
4,    32,    0.061,    0.0535,    17.5579528743,    1.98545411104,    2
4,    32,    0.068,    0.0505,    17.5625732036,    1.97877686416,    3
4,    32,    0.0695,    0.06,    17.5572791938,    1.98016208882,    4
4,    32,    0.066,    0.054,    17.4938701331,    1.98423942539,    5
4,    32,    0.061,    0.0495,    17.491147262,    1.98554157966,    6
4,    32,    0.0695,    0.056,    17.4427388282,    1.97386652699,    7
4,    32,    0.059,    0.047,    17.5068250212,    1.98156657888,    8
4,    32,    0.0745,    0.065,    17.4183936825,    1.98162518862,    9
