 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
4,    32,    0.06,    0.047,    17.539196659,    1.97268936189,    0
4,    32,    0.061,    0.0475,    17.5047933939,    1.98402826496,    1
4,    32,    0.0625,    0.0445,    17.5439628611,    1.97773120746,    2
4,    32,    0.0705,    0.055,    17.5449493533,    1.98381305429,    3
4,    32,    0.07,    0.056,    17.6009002697,    1.97846279261,    4
4,    32,    0.0605,    0.049,    17.5096575484,    1.976863808,    5
4,    32,    0.06,    0.0485,    17.513125939,    1.98338018862,    6
4,    32,    0.074,    0.06,    17.5473908044,    1.98677489169,    7
4,    32,    0.0765,    0.0665,    17.4635110599,    1.97716399483,    8
4,    32,    0.0675,    0.0575,    17.4468388027,    1.98091398376,    9
