 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
6,    32,    0.1834,    0.1548,    18.45145593,    1.91248838236,    0
6,    32,    0.1986,    0.1652,    18.4406017616,    1.91353430124,    1
6,    32,    0.1858,    0.1644,    18.4208807981,    1.91243529448,    2
6,    32,    0.193,    0.1668,    18.4065016177,    1.90957365768,    3
6,    32,    0.1888,    0.1638,    18.4004504152,    1.91316267088,    4
6,    32,    0.1996,    0.1612,    18.4021311965,    1.91361399033,    5
6,    32,    0.2024,    0.1762,    18.3754064994,    1.91254111158,    6
6,    32,    0.2006,    0.1704,    18.324844697,    1.91553020594,    7
6,    32,    0.2052,    0.177,    18.3508213647,    1.90841075149,    8
6,    32,    0.21,    0.1764,    18.3183980478,    1.90947444855,    9
