anyons, CorrLen, exp len, q1 failure, q2 failure 
12, 32, 0, 0.0598, 0.0582
12, 32, 1, 0.0584, 0.061
12, 32, 2, 0.0574, 0.0506
12, 32, 3, 0.0574, 0.0548
12, 32, 4, 0.0526, 0.056
12, 32, 5, 0.06, 0.0552
12, 32, 6, 0.0524, 0.0544
12, 32, 7, 0.0606, 0.0566
12, 32, 8, 0.0562, 0.061
12, 32, 9, 0.055, 0.0558
12, 32, 10, 0.0616, 0.057
12, 32, 11, 0.0592, 0.0544
12, 32, 12, 0.057, 0.066
12, 32, 13, 0.071, 0.0644
12, 32, 14, 0.0622, 0.068
12, 32, 15, 0.0666, 0.0662
12, 32, 16, 0.0754, 0.0688
12, 32, 17, 0.0812, 0.0856
12, 32, 18, 0.079, 0.083
12, 32, 19, 0.0798, 0.08
12, 32, 20, 0.0752, 0.0704
12, 32, 21, 0.077, 0.0752
