anyons, CorrLen, exp len, q1 failure, q2 failure 
12, 32, 0, 0.06, 0.054
12, 32, 1, 0.06, 0.052
12, 32, 2, 0.058, 0.042
12, 32, 3, 0.06, 0.056
12, 32, 4, 0.054, 0.046
12, 32, 5, 0.044, 0.048
12, 32, 6, 0.062, 0.06
12, 32, 7, 0.058, 0.058
12, 32, 8, 0.036, 0.052
12, 32, 9, 0.046, 0.05
12, 32, 10, 0.052, 0.038
12, 32, 11, 0.062, 0.07
12, 32, 12, 0.074, 0.072
12, 32, 13, 0.074, 0.078
12, 32, 14, 0.05, 0.068
12, 32, 15, 0.06, 0.072
12, 32, 16, 0.086, 0.064
12, 32, 17, 0.066, 0.048
12, 32, 18, 0.054, 0.082
12, 32, 19, 0.086, 0.078
12, 32, 20, 0.062, 0.088
12, 32, 21, 0.066, 0.08
