anyons, CorrLen, exp len, q1 failure, q2 failure 
0, 0, 0, 0.0, 0.0
2, 0, 0, 0.0, 0.0
4, 0, 0, 0.0, 0.0
6, 0, 0, 0.0, 0.0
8, 0, 0, 0.04, 0.04
10, 0, 0, 0.12, 0.12
12, 0, 0, 0.8, 0.8
14, 0, 0, 2.64, 2.12
16, 0, 0, 6.88, 6.52
18, 0, 0, 14.0, 14.24
20, 0, 0, 25.68, 25.76
22, 0, 0, 40.12, 40.96
24, 0, 0, 55.88, 59.16
26, 0, 0, 71.08, 72.28
28, 0, 0, 87.2, 86.56
30, 0, 0, 97.16, 96.44
32, 0, 0, 108.44, 102.96
34, 0, 0, 108.88, 110.64
36, 0, 0, 117.32, 116.24
38, 0, 0, 115.88, 118.4
40, 0, 0, 121.6, 120.32
42, 0, 0, 121.24, 126.04
44, 0, 0, 122.48, 125.16
46, 0, 0, 122.76, 123.2
48, 0, 0, 121.16, 124.68
50, 0, 0, 124.88, 124.56
52, 0, 0, 125.16, 122.76
54, 0, 0, 125.2, 124.12
56, 0, 0, 124.08, 122.16
58, 0, 0, 124.72, 128.88
60, 0, 0, 128.52, 127.36
62, 0, 0, 128.0, 127.48
64, 0, 0, 128.72, 123.92
66, 0, 0, 127.0, 126.76
68, 0, 0, 125.6, 125.88
70, 0, 0, 124.64, 126.72
72, 0, 0, 126.2, 124.56
74, 0, 0, 126.92, 125.76
76, 0, 0, 126.76, 126.28
78, 0, 0, 124.96, 124.48
80, 0, 0, 129.24, 124.96
82, 0, 0, 123.12, 125.68
84, 0, 0, 123.68, 128.36
86, 0, 0, 127.16, 123.64
88, 0, 0, 126.32, 125.12
90, 0, 0, 125.12, 126.04
92, 0, 0, 127.44, 125.04
94, 0, 0, 123.44, 124.52
96, 0, 0, 127.16, 124.96
98, 0, 0, 124.08, 124.24
