 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20,    20,    0.6,    0.5,    31.6002777778,	20.72
22.22,    18,    0.4,    0.4,    32.0638156787,	20.74743083
25,    16,    0.3,    0.5,    32.1687462452,	20.1691025641
28.57,    14,    0.7,    0.5,    32.6614810388,	19.8689016603
33.33,    12,    0.6,    0.5,    32.2568268683,	18.0219405871
40,    10,    0.3,    0.7,    32.5884189454,	19.095263705
50,    8,    0.4,    0.4,    32.6589876552,	17.8904958026
66.66,    6,    0.5,    0.3,    32.9178631918,	16.7338265181
100,    4,    0.3,    0.4,    32.8845271883,	15.4285953746
200,    2,    0.5,    0.4,    33.1613207101,	10.7291717459
