 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist, expected len
33.3333333333,    12,    0.4222,    0.2158,    29.2315848815,    5.53072578363,    2
33.3333333333,    12,    0.4235,    0.2212,    29.2355755838,    5.53234171346,    7
33.3333333333,    12,    0.4253,    0.2115,    29.229620092,    5.52652691891,    6
33.3333333333,    12,    0.426,    0.2131,    29.2259887283,    5.53195544683,    3
33.3333333333,    12,    0.4299,    0.2137,    29.2274781344,    5.53976832974,    0
33.3333333333,    12,    0.4303,    0.2154,    29.233426434,    5.54013358651,    9
33.3333333333,    12,    0.4307,    0.2132,    29.2297182791,    5.5340939195,    4
33.3333333333,    12,    0.4315,    0.2093,    29.2313499337,    5.53533879397,    1
33.3333333333,    12,    0.4354,    0.2159,    29.2249830115,    5.52692881397,    5
33.3333333333,    12,    0.4372,    0.2178,    29.2340170883,    5.5354433987,    8
