 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
11.52,    1,    0.1572,    0.1969,    11.0294634158,	4.0071703824
23.04,    1,    0.238,    0.4336,    11.5271199114,	5.10538350984
34.56,    1,    0.282,    0.496,    11.6927466885,	5.46366650406
46.08,    1,    0.3198,    0.4959,    11.7756897509,	5.5068289164
57.6,    1,    0.3486,    0.5018,    11.8254151124,	5.41378566095
69.12,    1,    0.378,    0.4977,    11.8574890633,	5.27935785432
80.64,    1,    0.3996,    0.4955,    11.8807802738,	5.12929993189
92.16,    1,    0.416,    0.4983,    11.8983199286,	4.97895382478
103.68,    1,    0.4288,    0.5054,    11.9100816428,	4.83238223233
115.2,    1,    0.4423,    0.5117,    11.9203260894,	4.70186737749
126.72,    1,    0.4608,    0.4983,    11.9297283737,	4.5923402309
138.24,    1,    0.472,    0.4948,    11.9367137658,	4.47902969661
149.76,    1,    0.475,    0.4978,    11.9412805725,	4.37465439357
161.28,    1,    0.4859,    0.4954,    11.9467244425,	4.29224079166
172.8,    1,    0.4899,    0.4928,    11.9507655172,	4.2110533571
184.32,    1,    0.4966,    0.4973,    11.9544446563,	4.13638038254
195.84,    1,    0.5089,    0.4926,    11.9569885576,	4.06858680051
207.36,    1,    0.5024,    0.4987,    11.9598229131,	4.00603584225
218.88,    1,    0.5001,    0.5043,    11.961334315,	3.95371594998
230.4,    1,    0.4939,    0.5045,    11.9637657143,	3.89600740538
241.92,    1,    0.5028,    0.5032,    11.9652250982,	3.85532847455
253.44,    1,    0.4994,    0.4978,    11.9670666977,	3.81003266701
264.96,    1,    0.504,    0.5057,    11.9683726204,	3.77562547627
276.48,    1,    0.4942,    0.5013,    11.9696205776,	3.74112933035
