 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20,    20,    0.503,    0.377,    28.8615235538,	7.43210685284
22.22,    18,    0.4944,    0.3742,    28.9533420137,	7.05061704084
25,    16,    0.4892,    0.3761,    29.0464618505,	6.63468012774
28.57,    14,    0.4917,    0.3719,    29.1456421309,	6.19754217137
33.33,    12,    0.476,    0.3615,    29.2480371063,	5.71798772361
40,    10,    0.4681,    0.3465,    29.3551967832,	5.18868394172
50,    8,    0.4382,    0.3003,    29.4810921009,	4.59070892017
66.66,    6,    0.3417,    0.2215,    29.5976333964,	3.89593141592
100,    4,    0.118,    0.0725,    29.7313488493,	3.04406269421
200,    2,    0.0004,    0.0001,    29.8667268218,	1.94704096372
