L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 4.5, 1, 10.0, 15, 32, 0.3814
40, 5.5, 1, 6.5, 15, 32, 0.3828
40, 4.5, 1, 14.5, 15, 32, 0.3692
40, 5.0, 1, 13.5, 15, 32, 0.3941
40, 4.5, 1, 9.5, 15, 32, 0.3725
40, 6.25, 1, 12.5, 15, 32, 0.4036
40, 4.0, 1, 8.5, 15, 32, 0.3865
40, 6.75, 1, 12.0, 15, 32, 0.4345
40, 6.25, 1, 14.0, 15, 32, 0.3817
40, 4.5, 1, 11.0, 15, 32, 0.3898
40, 5.25, 1, 6.0, 15, 32, 0.3829
40, 5.5, 1, 13.5, 15, 32, 0.3839
40, 4.0, 1, 11.5, 15, 32, 0.3783
40, 5.25, 1, 13.5, 15, 32, 0.3798
40, 4.75, 1, 5.0, 15, 32, 0.4036
40, 6.75, 1, 11.5, 15, 32, 0.4413
40, 6.25, 1, 12.0, 15, 32, 0.3989
40, 4.5, 1, 8.0, 15, 32, 0.3758
40, 4.0, 1, 9.5, 15, 32, 0.3842
40, 5.5, 1, 10.0, 15, 32, 0.3717
40, 5.0, 1, 8.0, 15, 32, 0.3792
40, 5.0, 1, 8.5, 15, 32, 0.3681
40, 6.75, 1, 6.5, 15, 32, 0.4216
40, 4.25, 1, 11.0, 15, 32, 0.3685
40, 6.5, 1, 8.0, 15, 32, 0.4223
40, 4.0, 1, 10.0, 15, 32, 0.3866
40, 5.75, 1, 10.0, 15, 32, 0.3955
40, 4.0, 1, 6.0, 15, 32, 0.3852
40, 5.75, 1, 9.0, 15, 32, 0.399
40, 4.5, 1, 5.5, 15, 32, 0.4004
40, 5.75, 1, 5.5, 15, 32, 0.401
40, 6.5, 1, 5.5, 15, 32, 0.4033
40, 5.75, 1, 8.0, 15, 32, 0.3814
40, 6.0, 1, 13.0, 15, 32, 0.3814
40, 5.75, 1, 8.5, 15, 32, 0.3892
40, 5.75, 1, 10.5, 15, 32, 0.3868
40, 4.75, 1, 12.0, 15, 32, 0.371
40, 5.0, 1, 12.5, 15, 32, 0.3615
40, 6.0, 1, 13.5, 15, 32, 0.387
40, 4.5, 1, 13.5, 15, 32, 0.3644
40, 6.0, 1, 10.0, 15, 32, 0.3975
40, 6.75, 1, 7.5, 15, 32, 0.432
40, 5.25, 1, 5.5, 15, 32, 0.3862
40, 5.5, 1, 10.5, 15, 32, 0.394
40, 4.5, 1, 8.5, 15, 32, 0.3717
40, 5.0, 1, 5.5, 15, 32, 0.3846
40, 5.25, 1, 7.0, 15, 32, 0.3877
40, 4.25, 1, 13.5, 15, 32, 0.3821
40, 6.5, 1, 11.5, 15, 32, 0.4022
40, 5.0, 1, 11.0, 15, 32, 0.3632
40, 4.5, 1, 6.5, 15, 32, 0.3823
40, 5.25, 1, 14.0, 15, 32, 0.3807
40, 5.5, 1, 11.5, 15, 32, 0.3866
40, 5.0, 1, 6.5, 15, 32, 0.3833
40, 4.0, 1, 9.0, 15, 32, 0.3772
40, 6.0, 1, 6.5, 15, 32, 0.4126
40, 4.75, 1, 7.5, 15, 32, 0.3796
40, 4.75, 1, 6.0, 15, 32, 0.3845
40, 6.25, 1, 8.5, 15, 32, 0.3983
40, 5.25, 1, 8.5, 15, 32, 0.3728
40, 6.0, 1, 14.5, 15, 32, 0.403
40, 4.5, 1, 10.5, 15, 32, 0.3791
40, 5.25, 1, 7.5, 15, 32, 0.3903
