L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 5.75, 1, 9.0, 15, 32, 0.426
40, 4.5, 1, 14.5, 15, 32, 0.354
40, 4.5, 1, 9.5, 15, 32, 0.397
40, 4.0, 1, 7.5, 15, 32, 0.396
40, 4.75, 1, 14.0, 15, 32, 0.365
40, 4.5, 1, 11.0, 15, 32, 0.36
40, 4.5, 1, 6.0, 15, 32, 0.395
40, 5.5, 1, 13.5, 15, 32, 0.411
40, 4.0, 1, 11.5, 15, 32, 0.401
40, 5.25, 1, 13.5, 15, 32, 0.402
40, 4.25, 1, 5.0, 15, 32, 0.41
40, 6.75, 1, 11.5, 15, 32, 0.438
40, 5.5, 1, 12.0, 15, 32, 0.38
40, 4.5, 1, 8.0, 15, 32, 0.394
40, 4.0, 1, 8.5, 15, 32, 0.365
40, 5.75, 1, 10.0, 15, 32, 0.4
40, 5.0, 1, 8.0, 15, 32, 0.38
40, 4.25, 1, 10.0, 15, 32, 0.382
40, 5.0, 1, 7.5, 15, 32, 0.372
40, 6.75, 1, 6.5, 15, 32, 0.395
40, 4.25, 1, 11.0, 15, 32, 0.374
40, 4.25, 1, 8.0, 15, 32, 0.396
40, 4.0, 1, 10.0, 15, 32, 0.391
40, 4.5, 1, 10.0, 15, 32, 0.377
40, 4.0, 1, 6.0, 15, 32, 0.397
40, 5.5, 1, 6.5, 15, 32, 0.387
40, 6.5, 1, 5.5, 15, 32, 0.396
40, 4.75, 1, 8.0, 15, 32, 0.392
40, 6.0, 1, 13.0, 15, 32, 0.399
40, 4.25, 1, 9.5, 15, 32, 0.38
40, 5.75, 1, 10.5, 15, 32, 0.372
40, 6.75, 1, 12.0, 15, 32, 0.438
40, 5.0, 1, 12.5, 15, 32, 0.396
40, 6.0, 1, 13.5, 15, 32, 0.418
40, 4.5, 1, 13.5, 15, 32, 0.387
40, 6.0, 1, 10.0, 15, 32, 0.385
40, 4.75, 1, 7.5, 15, 32, 0.373
40, 5.5, 1, 10.5, 15, 32, 0.393
40, 5.5, 1, 5.5, 15, 32, 0.382
40, 4.5, 1, 12.0, 15, 32, 0.362
40, 5.0, 1, 5.5, 15, 32, 0.387
40, 4.0, 1, 13.0, 15, 32, 0.357
40, 4.25, 1, 14.0, 15, 32, 0.385
40, 4.25, 1, 13.5, 15, 32, 0.348
40, 5.0, 1, 11.0, 15, 32, 0.372
40, 6.75, 1, 5.0, 15, 32, 0.392
40, 5.5, 1, 11.5, 15, 32, 0.361
40, 5.0, 1, 8.5, 15, 32, 0.376
