L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 4.7, 1, 11.5, 15, 32, 0.38184
40, 5.1, 1, 11.0, 15, 32, 0.36726
40, 4.9, 1, 12.0, 15, 32, 0.36864
40, 4.9, 1, 14.0, 15, 32, 0.37346
40, 5.3, 1, 11.75, 15, 32, 0.39506
40, 5.7, 1, 12.25, 15, 32, 0.3818
40, 4.7, 1, 11.0, 15, 32, 0.37044
40, 5.3, 1, 13.0, 15, 32, 0.38114
40, 5.7, 1, 13.5, 15, 32, 0.38618
40, 4.5, 1, 13.0, 15, 32, 0.38018
40, 5.5, 1, 11.25, 15, 32, 0.38434
40, 5.3, 1, 11.0, 15, 32, 0.3871
40, 4.9, 1, 11.5, 15, 32, 0.36416
40, 4.9, 1, 13.25, 15, 32, 0.36958
40, 5.1, 1, 11.25, 15, 32, 0.36684
40, 5.5, 1, 11.5, 15, 32, 0.38074
40, 5.1, 1, 12.0, 15, 32, 0.38338
40, 4.5, 1, 13.75, 15, 32, 0.3663
40, 4.5, 1, 12.75, 15, 32, 0.3787
40, 4.9, 1, 11.75, 15, 32, 0.3703
40, 5.3, 1, 14.0, 15, 32, 0.38192
40, 4.5, 1, 12.5, 15, 32, 0.39304
40, 4.7, 1, 13.0, 15, 32, 0.36746
40, 4.7, 1, 13.25, 15, 32, 0.36182
40, 5.7, 1, 11.25, 15, 32, 0.38054
40, 5.3, 1, 12.75, 15, 32, 0.37952
40, 5.5, 1, 12.0, 15, 32, 0.37954
40, 5.7, 1, 12.75, 15, 32, 0.37916
40, 4.9, 1, 11.0, 15, 32, 0.3666
40, 5.7, 1, 12.5, 15, 32, 0.38562
40, 4.9, 1, 12.75, 15, 32, 0.36616
40, 4.5, 1, 13.5, 15, 32, 0.36432
40, 5.7, 1, 13.0, 15, 32, 0.37826
40, 5.1, 1, 13.0, 15, 32, 0.39882
40, 5.1, 1, 11.75, 15, 32, 0.39414
40, 4.5, 1, 11.25, 15, 32, 0.37728
40, 5.7, 1, 13.75, 15, 32, 0.38648
40, 5.5, 1, 14.0, 15, 32, 0.38032
40, 4.7, 1, 11.25, 15, 32, 0.36902
40, 4.7, 1, 13.5, 15, 32, 0.37022
40, 4.5, 1, 11.5, 15, 32, 0.37186
40, 5.5, 1, 11.75, 15, 32, 0.3874
40, 5.5, 1, 11.0, 15, 32, 0.39056
40, 5.3, 1, 13.5, 15, 32, 0.37906
40, 4.5, 1, 11.0, 15, 32, 0.38074
40, 4.9, 1, 13.5, 15, 32, 0.36862
40, 5.5, 1, 12.75, 15, 32, 0.38426
40, 5.3, 1, 12.0, 15, 32, 0.39448
40, 5.1, 1, 12.25, 15, 32, 0.38544
40, 5.5, 1, 13.25, 15, 32, 0.37836
40, 5.7, 1, 11.0, 15, 32, 0.38778
40, 5.7, 1, 12.0, 15, 32, 0.38248
40, 4.9, 1, 11.25, 15, 32, 0.37334
40, 5.3, 1, 11.25, 15, 32, 0.38388
40, 5.1, 1, 12.75, 15, 32, 0.38972
40, 4.5, 1, 12.25, 15, 32, 0.37746
40, 5.5, 1, 12.25, 15, 32, 0.38128
40, 5.5, 1, 13.5, 15, 32, 0.3794
40, 4.7, 1, 14.0, 15, 32, 0.37192
40, 5.3, 1, 11.5, 15, 32, 0.38274
40, 5.3, 1, 13.75, 15, 32, 0.38354
40, 4.5, 1, 14.0, 15, 32, 0.36578
40, 4.7, 1, 12.75, 15, 32, 0.36994
40, 5.3, 1, 13.25, 15, 32, 0.37938
40, 4.7, 1, 12.25, 15, 32, 0.36808
40, 4.9, 1, 13.75, 15, 32, 0.36796
40, 4.7, 1, 13.75, 15, 32, 0.36594
40, 4.9, 1, 13.0, 15, 32, 0.37056
40, 4.5, 1, 11.75, 15, 32, 0.3777
40, 5.5, 1, 12.5, 15, 32, 0.37832
40, 5.7, 1, 13.25, 15, 32, 0.37914
40, 5.1, 1, 11.5, 15, 32, 0.36834
40, 5.5, 1, 13.75, 15, 32, 0.37572
40, 4.5, 1, 12.0, 15, 32, 0.3812
40, 5.5, 1, 13.0, 15, 32, 0.3803
40, 5.1, 1, 14.0, 15, 32, 0.38624
40, 5.1, 1, 13.25, 15, 32, 0.39142
40, 4.9, 1, 12.25, 15, 32, 0.36832
40, 5.1, 1, 13.5, 15, 32, 0.38982
40, 4.9, 1, 12.5, 15, 32, 0.36304
40, 5.3, 1, 12.25, 15, 32, 0.38836
40, 4.7, 1, 12.5, 15, 32, 0.37562
40, 5.1, 1, 13.75, 15, 32, 0.39068
40, 4.5, 1, 13.25, 15, 32, 0.36342
40, 5.7, 1, 11.5, 15, 32, 0.38148
40, 5.7, 1, 11.75, 15, 32, 0.37922
40, 4.7, 1, 12.0, 15, 32, 0.36876
40, 5.1, 1, 12.5, 15, 32, 0.38854
40, 5.7, 1, 14.0, 15, 32, 0.3895
40, 5.3, 1, 12.5, 15, 32, 0.38588
40, 4.7, 1, 11.75, 15, 32, 0.37222
