L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 3.8, 1, 25, 4, 32, gauss, 0.0016
40, 1.4, 1, 25, 4, 32, gauss, 0.00315
40, 1.2, 1, 38, 4, 32, gauss, 0.0029
40, 4.8, 1, 40, 4, 32, gauss, 0.00215
40, 1.0, 1, 29, 4, 32, gauss, 0.0031
40, 5.8, 1, 35, 4, 32, gauss, 0.0029
40, 5.2, 1, 11, 4, 32, gauss, 0.00345
40, 3.4, 1, 38, 4, 32, gauss, 0.00205
40, 1.0, 1, 6, 4, 32, gauss, 0.00345
40, 7.4, 1, 19, 4, 32, gauss, 0.00365
40, 7.6, 1, 9, 4, 32, gauss, 0.00395
40, 5.6, 1, 11, 4, 32, gauss, 0.0036
40, 5.6, 1, 12, 4, 32, gauss, 0.0039
40, 1.8, 1, 4, 4, 32, gauss, 0.0033
40, 4.6, 1, 17, 4, 32, gauss, 0.0032
40, 3.6, 1, 31, 4, 32, gauss, 0.00245
40, 1.6, 1, 12, 4, 32, gauss, 0.0038
40, 5.2, 1, 35, 4, 32, gauss, 0.00205
40, 2.4, 1, 5, 4, 32, gauss, 0.0036
40, 5.6, 1, 28, 4, 32, gauss, 0.0025
40, 6.2, 1, 11, 4, 32, gauss, 0.0032
40, 1.4, 1, 21, 4, 32, gauss, 0.00285
40, 6.8, 1, 35, 4, 32, gauss, 0.00295
40, 1.2, 1, 26, 4, 32, gauss, 0.00275
40, 4.6, 1, 37, 4, 32, gauss, 0.00285
40, 0.2, 1, 28, 4, 32, gauss, 0.0042
40, 7.8, 1, 19, 4, 32, gauss, 0.004
40, 3.8, 1, 14, 4, 32, gauss, 0.0025
40, 0.8, 1, 2, 4, 32, gauss, 0.00435
40, 5.2, 1, 21, 4, 32, gauss, 0.003
40, 1.6, 1, 28, 4, 32, gauss, 0.00325
40, 2.2, 1, 37, 4, 32, gauss, 0.00205
40, 4.2, 1, 3, 4, 32, gauss, 0.0032
40, 3.4, 1, 16, 4, 32, gauss, 0.0032
40, 4.2, 1, 23, 4, 32, gauss, 0.0036
40, 3.0, 1, 14, 4, 32, gauss, 0.0036
40, 4.2, 1, 5, 4, 32, gauss, 0.00415
40, 3.2, 1, 27, 4, 32, gauss, 0.00325
40, 0.0, 1, 28, 4, 32, gauss, 0.00315
40, 3.8, 1, 12, 4, 32, gauss, 0.0033
40, 1.6, 1, 7, 4, 32, gauss, 0.0037
40, 6.2, 1, 7, 4, 32, gauss, 0.0032
