L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 6.5, 1, 28, 15, 32, gauss, 0.21705
40, 5.0, 1, 35, 15, 32, gauss, 0.1998
40, 2.0, 1, 33, 15, 32, gauss, 0.1883
40, 2.0, 1, 22, 15, 32, gauss, 0.1865
40, 6.0, 1, 25, 15, 32, gauss, 0.19685
40, 0.0, 1, 35, 15, 32, gauss, 0.17835
40, 1.5, 1, 30, 15, 32, gauss, 0.1951
40, 4.5, 1, 21, 15, 32, gauss, 0.20005
40, 6.0, 1, 28, 15, 32, gauss, 0.19925
40, 6.0, 1, 35, 15, 32, gauss, 0.1919
40, 0.5, 1, 28, 15, 32, gauss, 0.19605
40, 2.5, 1, 31, 15, 32, gauss, 0.19705
40, 2.0, 1, 30, 15, 32, gauss, 0.18385
40, 3.5, 1, 35, 15, 32, gauss, 0.1811
40, 4.0, 1, 31, 15, 32, gauss, 0.19055
40, 2.0, 1, 26, 15, 32, gauss, 0.18775
40, 4.0, 1, 27, 15, 32, gauss, 0.1797
40, 3.0, 1, 36, 15, 32, gauss, 0.1801
40, 1.0, 1, 20, 15, 32, gauss, 0.18415
40, 2.0, 1, 28, 15, 32, gauss, 0.1803
40, 3.0, 1, 32, 15, 32, gauss, 0.1877
40, 6.5, 1, 31, 15, 32, gauss, 0.21265
40, 2.5, 1, 26, 15, 32, gauss, 0.18225
40, 0.5, 1, 37, 15, 32, gauss, 0.18635
40, 2.5, 1, 27, 15, 32, gauss, 0.18985
40, 4.5, 1, 35, 15, 32, gauss, 0.19535
40, 0.0, 1, 39, 15, 32, gauss, 0.18805
40, 6.5, 1, 39, 15, 32, gauss, 0.2164
40, 5.0, 1, 31, 15, 32, gauss, 0.19405
40, 4.5, 1, 27, 15, 32, gauss, 0.1993
40, 5.0, 1, 39, 15, 32, gauss, 0.19815
40, 0.0, 1, 40, 15, 32, gauss, 0.19195
40, 5.5, 1, 26, 15, 32, gauss, 0.20665
40, 5.5, 1, 21, 15, 32, gauss, 0.1951
40, 1.0, 1, 26, 15, 32, gauss, 0.17695
40, 2.5, 1, 24, 15, 32, gauss, 0.1822
40, 0.0, 1, 20, 15, 32, gauss, 0.20105
40, 3.0, 1, 29, 15, 32, gauss, 0.1794
40, 0.5, 1, 26, 15, 32, gauss, 0.1978
40, 4.0, 1, 30, 15, 32, gauss, 0.1808
40, 6.5, 1, 26, 15, 32, gauss, 0.1985
40, 6.5, 1, 38, 15, 32, gauss, 0.2196
40, 1.5, 1, 31, 15, 32, gauss, 0.1835
40, 5.0, 1, 28, 15, 32, gauss, 0.19265
40, 5.5, 1, 37, 15, 32, gauss, 0.19765
40, 6.5, 1, 20, 15, 32, gauss, 0.19705
40, 4.5, 1, 31, 15, 32, gauss, 0.19225
40, 4.5, 1, 36, 15, 32, gauss, 0.1956
40, 4.0, 1, 33, 15, 32, gauss, 0.1901
40, 2.5, 1, 21, 15, 32, gauss, 0.19505
40, 1.5, 1, 40, 15, 32, gauss, 0.18175
40, 5.0, 1, 40, 15, 32, gauss, 0.20205
40, 1.5, 1, 38, 15, 32, gauss, 0.1839
40, 4.5, 1, 37, 15, 32, gauss, 0.189
40, 1.0, 1, 23, 15, 32, gauss, 0.1962
40, 0.5, 1, 25, 15, 32, gauss, 0.20115
40, 3.0, 1, 22, 15, 32, gauss, 0.18165
40, 6.0, 1, 38, 15, 32, gauss, 0.1953
40, 6.0, 1, 23, 15, 32, gauss, 0.1912
40, 6.0, 1, 20, 15, 32, gauss, 0.2025
40, 0.5, 1, 27, 15, 32, gauss, 0.19355
40, 2.5, 1, 38, 15, 32, gauss, 0.1877
40, 0.0, 1, 33, 15, 32, gauss, 0.1786
40, 1.5, 1, 24, 15, 32, gauss, 0.18435
40, 2.0, 1, 36, 15, 32, gauss, 0.1845
40, 1.0, 1, 36, 15, 32, gauss, 0.18085
40, 6.5, 1, 37, 15, 32, gauss, 0.21815
