L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1, 0.6, 1, 16, 32, exactmanhat, 0.2435
40, 1, 0.7, 1, 16, 32, exactmanhat, 0.219
40, 1, 0.2, 1, 16, 32, exactmanhat, 0.235
40, 1, 0.5, 1, 8, 32, exactmanhat, 0.0395
40, 1, 0.1, 1, 16, 32, exactmanhat, 0.2225
40, 1, 0.3, 1, 16, 32, exactmanhat, 0.2285
40, 1, 0.2, 1, 8, 32, exactmanhat, 0.034
40, 1, 0.0, 1, 16, 32, exactmanhat, 0.2205
40, 1, 0.5, 1, 16, 32, exactmanhat, 0.2395
40, 1, 0.3, 1, 8, 32, exactmanhat, 0.037
40, 1, 0.1, 1, 12, 32, exactmanhat, 0.1085
40, 1, 0.9, 1, 8, 32, exactmanhat, 0.031
40, 1, 0.6, 1, 8, 32, exactmanhat, 0.0415
40, 1, 0.0, 1, 12, 32, exactmanhat, 0.1165
40, 1, 0.0, 1, 8, 32, exactmanhat, 0.0365
40, 1, 0.4, 1, 12, 32, exactmanhat, 0.1335
40, 1, 0.4, 1, 8, 32, exactmanhat, 0.0375
40, 1, 0.5, 1, 12, 32, exactmanhat, 0.1115
40, 1, 0.7, 1, 8, 32, exactmanhat, 0.0385
40, 1, 0.9, 1, 12, 32, exactmanhat, 0.123
40, 1, 0.8, 1, 16, 32, exactmanhat, 0.225
40, 1, 0.9, 1, 16, 32, exactmanhat, 0.2265
40, 1, 0.3, 1, 12, 32, exactmanhat, 0.114
40, 1, 0.8, 1, 12, 32, exactmanhat, 0.1105
40, 1, 0.8, 1, 8, 32, exactmanhat, 0.0325
40, 1, 0.4, 1, 16, 32, exactmanhat, 0.228
40, 1, 0.7, 1, 12, 32, exactmanhat, 0.131
40, 1, 0.2, 1, 12, 32, exactmanhat, 0.112
40, 1, 0.6, 1, 12, 32, exactmanhat, 0.1295
40, 1, 0.1, 1, 8, 32, exactmanhat, 0.0385
