L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 5.19709561257, 1, 3, 12, 32, gauss, 0.120694444444
40, 6.35819223987, 1, 9, 8, 32, gauss, 0.0367222222222
40, 5.01671234228, 1, 2, 16, 32, gauss, 0.233416666667
40, 5.01671234228, 1, 12, 8, 32, gauss, 0.0328888888889
40, 5.01671234228, 1, 5, 16, 32, gauss, 0.218166666667
40, 5.65685424949, 1, 14, 8, 32, gauss, 0.032
40, 5.01671234228, 1, 5, 12, 32, gauss, 0.116305555556
40, 5.19709561257, 1, 11, 16, 32, gauss, 0.219083333333
40, 4.25067121394, 1, 7, 12, 32, gauss, 0.125055555556
40, 5.19709561257, 1, 5, 16, 32, gauss, 0.22625
40, 4.25067121394, 1, 3, 12, 32, gauss, 0.126916666667
40, 5.01671234228, 1, 3, 12, 32, gauss, 0.123444444444
40, 6.35819223987, 1, 8, 8, 32, gauss, 0.0374166666667
40, 6.35819223987, 1, 13, 12, 32, gauss, 0.115972222222
40, 5.01671234228, 1, 9, 12, 32, gauss, 0.114027777778
40, 5.19709561257, 1, 1, 8, 32, gauss, 0.0391944444444
40, 5.01671234228, 1, 5, 8, 32, gauss, 0.0392222222222
40, 5.65685424949, 1, 2, 12, 32, gauss, 0.121638888889
40, 4.25067121394, 1, 6, 12, 32, gauss, 0.123388888889
40, 6.35819223987, 1, 11, 12, 32, gauss, 0.120416666667
40, 4.25067121394, 1, 14, 12, 32, gauss, 0.111305555556
40, 4.25067121394, 1, 3, 16, 32, gauss, 0.241027777778
40, 6.35819223987, 1, 10, 16, 32, gauss, 0.228361111111
40, 5.65685424949, 1, 13, 16, 32, gauss, 0.218722222222
40, 5.19709561257, 1, 6, 8, 32, gauss, 0.0365555555556
40, 6.35819223987, 1, 12, 12, 32, gauss, 0.115888888889
40, 5.01671234228, 1, 11, 8, 32, gauss, 0.0317777777778
40, 4.25067121394, 1, 4, 8, 32, gauss, 0.0391944444444
40, 5.01671234228, 1, 13, 8, 32, gauss, 0.0359722222222
40, 5.19709561257, 1, 5, 12, 32, gauss, 0.124166666667
40, 5.65685424949, 1, 12, 16, 32, gauss, 0.217166666667
40, 5.65685424949, 1, 6, 8, 32, gauss, 0.0381388888889
40, 5.65685424949, 1, 12, 12, 32, gauss, 0.111055555556
40, 5.19709561257, 1, 2, 16, 32, gauss, 0.231527777778
40, 5.65685424949, 1, 8, 12, 32, gauss, 0.116222222222
40, 5.01671234228, 1, 2, 8, 32, gauss, 0.0377777777778
40, 6.35819223987, 1, 11, 16, 32, gauss, 0.222805555556
40, 4.25067121394, 1, 14, 8, 32, gauss, 0.0331944444444
40, 4.25067121394, 1, 11, 12, 32, gauss, 0.109388888889
40, 4.25067121394, 1, 1, 8, 32, gauss, 0.0362777777778
40, 6.35819223987, 1, 2, 16, 32, gauss, 0.240583333333
40, 5.65685424949, 1, 4, 16, 32, gauss, 0.226833333333
40, 4.25067121394, 1, 1, 12, 32, gauss, 0.125388888889
40, 5.19709561257, 1, 9, 12, 32, gauss, 0.112722222222
40, 6.35819223987, 1, 5, 12, 32, gauss, 0.122666666667
40, 5.65685424949, 1, 6, 12, 32, gauss, 0.118916666667
40, 5.19709561257, 1, 5, 8, 32, gauss, 0.0392222222222
40, 6.35819223987, 1, 14, 16, 32, gauss, 0.228888888889
40, 5.65685424949, 1, 13, 12, 32, gauss, 0.113472222222
40, 5.65685424949, 1, 12, 8, 32, gauss, 0.0348888888889
40, 6.35819223987, 1, 14, 8, 32, gauss, 0.0347777777778
40, 5.19709561257, 1, 10, 16, 32, gauss, 0.208944444444
40, 6.35819223987, 1, 6, 8, 32, gauss, 0.0383055555556
40, 6.35819223987, 1, 3, 12, 32, gauss, 0.121944444444
40, 4.25067121394, 1, 5, 12, 32, gauss, 0.125805555556
40, 5.19709561257, 1, 3, 16, 32, gauss, 0.230916666667
40, 5.19709561257, 1, 13, 8, 32, gauss, 0.0339722222222
40, 5.19709561257, 1, 4, 16, 32, gauss, 0.224166666667
40, 5.65685424949, 1, 11, 12, 32, gauss, 0.112361111111
40, 5.19709561257, 1, 4, 12, 32, gauss, 0.124722222222
40, 4.25067121394, 1, 8, 12, 32, gauss, 0.115
40, 5.01671234228, 1, 1, 12, 32, gauss, 0.120888888889
40, 5.01671234228, 1, 14, 16, 32, gauss, 0.219472222222
40, 5.65685424949, 1, 2, 16, 32, gauss, 0.225916666667
40, 5.65685424949, 1, 5, 16, 32, gauss, 0.216027777778
40, 6.35819223987, 1, 8, 16, 32, gauss, 0.232694444444
40, 5.65685424949, 1, 10, 16, 32, gauss, 0.215583333333
40, 5.01671234228, 1, 3, 8, 32, gauss, 0.0394722222222
40, 5.01671234228, 1, 13, 16, 32, gauss, 0.216277777778
40, 5.19709561257, 1, 2, 12, 32, gauss, 0.126722222222
40, 4.25067121394, 1, 4, 12, 32, gauss, 0.119805555556
40, 5.19709561257, 1, 8, 12, 32, gauss, 0.114194444444
40, 6.35819223987, 1, 4, 12, 32, gauss, 0.124527777778
40, 4.25067121394, 1, 9, 8, 32, gauss, 0.0360833333333
