L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 5.6, 1, 25, 4, 32, gauss, 0.0027875
40, 4.6, 1, 25, 4, 32, gauss, 0.002625
40, 3.4, 1, 38, 4, 32, gauss, 0.00245
40, 5.8, 1, 40, 4, 32, gauss, 0.0027125
40, 1.0, 1, 29, 4, 32, gauss, 0.0031
40, 4.8, 1, 35, 4, 32, gauss, 0.0025125
40, 6.2, 1, 11, 4, 32, gauss, 0.0033875
40, 0.6, 1, 38, 4, 32, gauss, 0.0026
40, 1.0, 1, 6, 4, 32, gauss, 0.002725
40, 5.4, 1, 19, 4, 32, gauss, 0.0027625
40, 6.6, 1, 9, 4, 32, gauss, 0.0040125
40, 0.8, 1, 17, 4, 32, gauss, 0.0036375
40, 7.6, 1, 11, 4, 32, gauss, 0.0038
40, 3.6, 1, 4, 4, 32, gauss, 0.0033875
40, 4.6, 1, 17, 4, 32, gauss, 0.0023875
40, 4.2, 1, 38, 4, 32, gauss, 0.0026
40, 2.6, 1, 31, 4, 32, gauss, 0.0031625
40, 1.6, 1, 12, 4, 32, gauss, 0.0031875
40, 7.2, 1, 35, 4, 32, gauss, 0.0029375
40, 2.8, 1, 27, 4, 32, gauss, 0.002925
40, 3.4, 1, 5, 4, 32, gauss, 0.0029625
40, 5.6, 1, 28, 4, 32, gauss, 0.0027875
40, 5.2, 1, 11, 4, 32, gauss, 0.0035
40, 1.4, 1, 21, 4, 32, gauss, 0.0033875
40, 6.8, 1, 35, 4, 32, gauss, 0.003
40, 1.2, 1, 26, 4, 32, gauss, 0.003075
40, 4.6, 1, 37, 4, 32, gauss, 0.002825
40, 1.6, 1, 28, 4, 32, gauss, 0.003325
40, 5.8, 1, 19, 4, 32, gauss, 0.0022625
40, 2.8, 1, 14, 4, 32, gauss, 0.0031875
40, 0.8, 1, 2, 4, 32, gauss, 0.0026625
40, 7.2, 1, 21, 4, 32, gauss, 0.002825
40, 3.2, 1, 37, 4, 32, gauss, 0.00275
40, 4.2, 1, 3, 4, 32, gauss, 0.0035
40, 1.2, 1, 16, 4, 32, gauss, 0.0035875
40, 3.0, 1, 14, 4, 32, gauss, 0.0034625
40, 7.2, 1, 5, 4, 32, gauss, 0.003775
40, 3.2, 1, 27, 4, 32, gauss, 0.002625
40, 0.0, 1, 28, 4, 32, gauss, 0.003525
40, 4.6, 1, 12, 4, 32, gauss, 0.00335
40, 1.6, 1, 7, 4, 32, gauss, 0.0031625
40, 7.2, 1, 7, 4, 32, gauss, 0.0039375
40, 2.2, 1, 34, 4, 32, gauss, 0.00245
40, 6.6, 1, 34, 4, 32, gauss, 0.003275
40, 0.2, 1, 30, 4, 32, gauss, 0.0034
40, 3.4, 1, 40, 4, 32, gauss, 0.0027625
40, 5.0, 1, 4, 4, 32, gauss, 0.0040375
40, 7.2, 1, 30, 4, 32, gauss, 0.002975
40, 2.6, 1, 8, 4, 32, gauss, 0.0034
40, 6.6, 1, 2, 4, 32, gauss, 0.0041
40, 4.2, 1, 9, 4, 32, gauss, 0.0033875
40, 1.4, 1, 32, 4, 32, gauss, 0.0026625
40, 2.4, 1, 24, 4, 32, gauss, 0.0028125
40, 6.2, 1, 15, 4, 32, gauss, 0.00305
40, 7.4, 1, 33, 4, 32, gauss, 0.00325
40, 4.6, 1, 2, 4, 32, gauss, 0.0036125
40, 0.4, 1, 10, 4, 32, gauss, 0.003175
40, 3.2, 1, 9, 4, 32, gauss, 0.003475
40, 4.8, 1, 23, 4, 32, gauss, 0.0029625
40, 5.4, 1, 31, 4, 32, gauss, 0.0027875
40, 6.8, 1, 8, 4, 32, gauss, 0.0037875
40, 0.6, 1, 15, 4, 32, gauss, 0.0031875
40, 5.4, 1, 18, 4, 32, gauss, 0.0031875
40, 5.4, 1, 36, 4, 32, gauss, 0.0025625
40, 0.8, 1, 1, 4, 32, gauss, 0.00295
40, 5.6, 1, 27, 4, 32, gauss, 0.0029625
40, 1.6, 1, 8, 4, 32, gauss, 0.0035375
40, 7.4, 1, 16, 4, 32, gauss, 0.0037125
40, 5.8, 1, 36, 4, 32, gauss, 0.00255
40, 3.8, 1, 19, 4, 32, gauss, 0.0031625
40, 0.6, 1, 18, 4, 32, gauss, 0.00345
40, 1.0, 1, 24, 4, 32, gauss, 0.003275
40, 1.6, 1, 24, 4, 32, gauss, 0.0027875
40, 5.2, 1, 38, 4, 32, gauss, 0.0029125
40, 0.4, 1, 14, 4, 32, gauss, 0.002825
40, 5.4, 1, 13, 4, 32, gauss, 0.0029
40, 1.2, 1, 11, 4, 32, gauss, 0.00365
