L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 5.19709561257, 1, 3, 12, 32, gauss, 0.122044444444
40, 6.35819223987, 1, 9, 8, 32, gauss, 0.0381055555556
40, 5.01671234228, 1, 2, 16, 32, gauss, 0.2324
40, 5.01671234228, 1, 12, 8, 32, gauss, 0.0325444444444
40, 5.01671234228, 1, 5, 16, 32, gauss, 0.217661111111
40, 5.65685424949, 1, 14, 8, 32, gauss, 0.03295
40, 5.01671234228, 1, 5, 12, 32, gauss, 0.118355555556
40, 5.19709561257, 1, 11, 16, 32, gauss, 0.220033333333
40, 4.25067121394, 1, 7, 12, 32, gauss, 0.124094444444
40, 5.19709561257, 1, 5, 16, 32, gauss, 0.228016666667
40, 4.25067121394, 1, 3, 12, 32, gauss, 0.128527777778
40, 5.01671234228, 1, 3, 12, 32, gauss, 0.123888888889
40, 6.35819223987, 1, 8, 8, 32, gauss, 0.0368722222222
40, 6.35819223987, 1, 13, 12, 32, gauss, 0.114383333333
40, 5.01671234228, 1, 9, 12, 32, gauss, 0.112844444444
40, 5.19709561257, 1, 1, 8, 32, gauss, 0.03955
40, 5.01671234228, 1, 5, 8, 32, gauss, 0.0379722222222
40, 5.65685424949, 1, 2, 12, 32, gauss, 0.121738888889
40, 4.25067121394, 1, 6, 12, 32, gauss, 0.1196
40, 6.35819223987, 1, 11, 12, 32, gauss, 0.120011111111
40, 4.25067121394, 1, 14, 12, 32, gauss, 0.110327777778
40, 4.25067121394, 1, 3, 16, 32, gauss, 0.237488888889
40, 6.35819223987, 1, 10, 16, 32, gauss, 0.226438888889
40, 5.65685424949, 1, 13, 16, 32, gauss, 0.218233333333
40, 5.19709561257, 1, 6, 8, 32, gauss, 0.0373111111111
40, 6.35819223987, 1, 12, 12, 32, gauss, 0.117177777778
40, 5.01671234228, 1, 11, 8, 32, gauss, 0.0327055555556
40, 4.25067121394, 1, 4, 8, 32, gauss, 0.0386111111111
40, 5.01671234228, 1, 13, 8, 32, gauss, 0.0354277777778
40, 5.19709561257, 1, 5, 12, 32, gauss, 0.124861111111
40, 5.65685424949, 1, 12, 16, 32, gauss, 0.216616666667
40, 5.65685424949, 1, 6, 8, 32, gauss, 0.0379833333333
40, 5.65685424949, 1, 12, 12, 32, gauss, 0.111044444444
40, 5.19709561257, 1, 2, 16, 32, gauss, 0.230461111111
40, 5.65685424949, 1, 8, 12, 32, gauss, 0.116811111111
40, 5.01671234228, 1, 2, 8, 32, gauss, 0.0413
40, 6.35819223987, 1, 11, 16, 32, gauss, 0.228133333333
40, 4.25067121394, 1, 14, 8, 32, gauss, 0.0341222222222
40, 4.25067121394, 1, 11, 12, 32, gauss, 0.109538888889
40, 4.25067121394, 1, 1, 8, 32, gauss, 0.0381333333333
40, 6.35819223987, 1, 2, 16, 32, gauss, 0.243761111111
40, 5.65685424949, 1, 4, 16, 32, gauss, 0.230061111111
