L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 0.0, 1, 8, 16, 32, gauss, 0.236914893617
40, 1.5, 1, 2, 16, 32, gauss, 0.23670212766
40, 2.5, 1, 1, 16, 32, gauss, 0.233936170213
40, 7.5, 1, 13, 16, 32, gauss, 0.263936170213
40, 4.5, 1, 11, 16, 32, gauss, 0.211170212766
40, 5.5, 1, 8, 16, 32, gauss, 0.223510638298
40, 5.0, 1, 7, 16, 32, gauss, 0.215319148936
40, 3.0, 1, 15, 16, 32, gauss, 0.229468085106
40, 5.5, 1, 14, 16, 32, gauss, 0.213936170213
40, 1.0, 1, 10, 16, 32, gauss, 0.235531914894
40, 7.5, 1, 9, 16, 32, gauss, 0.237340425532
40, 1.0, 1, 13, 16, 32, gauss, 0.224574468085
40, 7.5, 1, 1, 16, 32, gauss, 0.263936170213
40, 1.0, 1, 2, 16, 32, gauss, 0.232872340426
40, 2.0, 1, 2, 16, 32, gauss, 0.235106382979
40, 2.0, 1, 5, 16, 32, gauss, 0.232340425532
40, 0.0, 1, 12, 16, 32, gauss, 0.23085106383
40, 3.0, 1, 4, 16, 32, gauss, 0.24
40, 2.0, 1, 1, 16, 32, gauss, 0.224574468085
40, 5.0, 1, 15, 16, 32, gauss, 0.222446808511
40, 6.0, 1, 8, 16, 32, gauss, 0.230957446809
40, 6.5, 1, 1, 16, 32, gauss, 0.245531914894
40, 7.0, 1, 9, 16, 32, gauss, 0.244361702128
40, 2.0, 1, 3, 16, 32, gauss, 0.237446808511
40, 0.5, 1, 9, 16, 32, gauss, 0.237021276596
40, 7.0, 1, 7, 16, 32, gauss, 0.232021276596
40, 4.0, 1, 11, 16, 32, gauss, 0.216489361702
40, 3.5, 1, 8, 16, 32, gauss, 0.225531914894
40, 5.5, 1, 3, 16, 32, gauss, 0.233723404255
40, 2.5, 1, 2, 16, 32, gauss, 0.233085106383
40, 2.0, 1, 14, 16, 32, gauss, 0.220106382979
40, 4.0, 1, 7, 16, 32, gauss, 0.217765957447
40, 3.0, 1, 3, 16, 32, gauss, 0.239468085106
40, 2.5, 1, 4, 16, 32, gauss, 0.238617021277
40, 0.5, 1, 16, 16, 32, gauss, 0.219042553191
40, 3.5, 1, 5, 16, 32, gauss, 0.220106382979
40, 1.5, 1, 11, 16, 32, gauss, 0.224361702128
40, 5.5, 1, 10, 16, 32, gauss, 0.219255319149
40, 3.0, 1, 2, 16, 32, gauss, 0.246808510638
40, 6.5, 1, 6, 16, 32, gauss, 0.236170212766
40, 6.5, 1, 10, 16, 32, gauss, 0.229255319149
40, 7.0, 1, 16, 16, 32, gauss, 0.232234042553
40, 5.5, 1, 11, 16, 32, gauss, 0.219042553191
40, 4.5, 1, 1, 16, 32, gauss, 0.246382978723
40, 3.0, 1, 8, 16, 32, gauss, 0.21914893617
40, 1.5, 1, 12, 16, 32, gauss, 0.224468085106
40, 5.0, 1, 10, 16, 32, gauss, 0.213723404255
40, 0.0, 1, 16, 16, 32, gauss, 0.227978723404
40, 6.5, 1, 8, 16, 32, gauss, 0.240744680851
40, 5.0, 1, 2, 16, 32, gauss, 0.233510638298
40, 3.0, 1, 10, 16, 32, gauss, 0.232978723404
40, 6.5, 1, 4, 16, 32, gauss, 0.240425531915
40, 4.0, 1, 9, 16, 32, gauss, 0.216063829787
40, 0.0, 1, 2, 16, 32, gauss, 0.224893617021
40, 0.0, 1, 11, 16, 32, gauss, 0.231063829787
40, 3.5, 1, 14, 16, 32, gauss, 0.227127659574
40, 4.0, 1, 1, 16, 32, gauss, 0.246170212766
40, 4.0, 1, 5, 16, 32, gauss, 0.230106382979
40, 7.0, 1, 1, 16, 32, gauss, 0.248191489362
40, 0.5, 1, 14, 16, 32, gauss, 0.22
40, 5.0, 1, 13, 16, 32, gauss, 0.224574468085
40, 4.5, 1, 15, 16, 32, gauss, 0.214468085106
40, 1.5, 1, 7, 16, 32, gauss, 0.236170212766
40, 7.5, 1, 12, 16, 32, gauss, 0.261595744681
40, 7.5, 1, 14, 16, 32, gauss, 0.264893617021
40, 5.0, 1, 5, 16, 32, gauss, 0.219893617021
40, 1.0, 1, 15, 16, 32, gauss, 0.225
40, 6.5, 1, 9, 16, 32, gauss, 0.242446808511
40, 7.0, 1, 3, 16, 32, gauss, 0.237978723404
40, 0.0, 1, 13, 16, 32, gauss, 0.237765957447
40, 0.0, 1, 10, 16, 32, gauss, 0.227872340426
40, 0.0, 1, 5, 16, 32, gauss, 0.242978723404
40, 2.5, 1, 14, 16, 32, gauss, 0.218510638298
40, 5.0, 1, 4, 16, 32, gauss, 0.227021276596
40, 6.5, 1, 16, 16, 32, gauss, 0.227340425532
40, 7.5, 1, 15, 16, 32, gauss, 0.272872340426
40, 1.0, 1, 3, 16, 32, gauss, 0.232446808511
40, 7.0, 1, 2, 16, 32, gauss, 0.241382978723
40, 2.0, 1, 4, 16, 32, gauss, 0.232978723404
40, 5.5, 1, 12, 16, 32, gauss, 0.222234042553
40, 7.5, 1, 8, 16, 32, gauss, 0.253510638298
40, 5.5, 1, 13, 16, 32, gauss, 0.217553191489
40, 7.0, 1, 8, 16, 32, gauss, 0.245425531915
40, 4.0, 1, 3, 16, 32, gauss, 0.237659574468
40, 2.5, 1, 7, 16, 32, gauss, 0.235212765957
40, 5.0, 1, 12, 16, 32, gauss, 0.204255319149
40, 3.5, 1, 11, 16, 32, gauss, 0.225
40, 6.0, 1, 15, 16, 32, gauss, 0.211063829787
40, 4.5, 1, 10, 16, 32, gauss, 0.21585106383
