variance,anyons,corr dist,x bar,q1 fail,q2 fail 
10.75,15,32,4,0.204833333333333,0.2034
10.75,15,32,4.1,0.205516666666667,0.202316666666667
10.75,15,32,4.2,0.204016666666667,0.202166666666667
10.75,15,32,4.3,0.203266666666667,0.20135
10.75,15,32,4.4,0.2034,0.203866666666667
10.75,15,32,4.5,0.20225,0.203566666666667
10.75,15,32,4.6,0.20255,0.202333333333333
10.75,15,32,4.7,0.20175,0.203433333333333
10.75,15,32,4.8,0.202783333333333,0.20565
10.75,15,32,4.9,0.202883333333333,0.202383333333333
10.75,15,32,5,0.200116666666667,0.205233333333333
10.75,15,32,5.1,0.200733333333333,0.20275
10.75,15,32,5.2,0.2043,0.204016666666667
10.75,15,32,5.3,0.204516666666667,0.20555
10.75,15,32,5.4,0.203516666666667,0.2042
10.75,15,32,5.5,0.202833333333333,0.203883333333333
10.75,15,32,5.6,0.203016666666667,0.2036
10.75,15,32,5.7,0.204766666666667,0.2028
10.75,15,32,5.8,0.203983333333333,0.20355
