L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1, 0.1, 1, 8, 32, exactmanhat, 0.035
40, 1, 0.3, 1, 16, 32, exactmanhat, 0.23035
40, 1, 0.7, 1, 8, 32, leastweight, 0.03745
40, 1, 0.1, 1, 8, 32, leastweight, 0.03605
40, 1, 0.4, 1, 16, 32, exactmanhat, 0.23035
40, 1, 0.8, 1, 12, 32, leastweight, 0.1185
40, 1, 0.9, 1, 16, 32, exactmanhat, 0.23145
40, 1, 0.7, 1, 12, 32, exactmanhat, 0.12105
40, 1, 0.9, 1, 12, 32, leastweight, 0.12175
40, 1, 0.0, 1, 8, 32, exactmanhat, 0.03685
40, 1, 0.2, 1, 12, 32, leastweight, 0.1259
40, 1, 0.9, 1, 16, 32, leastweight, 0.23195
40, 1, 0.1, 1, 16, 32, exactmanhat, 0.2328
40, 1, 0.6, 1, 16, 32, exactmanhat, 0.2387
40, 1, 0.8, 1, 8, 32, leastweight, 0.0367
40, 1, 0.2, 1, 16, 32, leastweight, 0.23395
40, 1, 0.2, 1, 8, 32, exactmanhat, 0.0346
40, 1, 0.0, 1, 16, 32, exactmanhat, 0.23655
40, 1, 0.1, 1, 16, 32, leastweight, 0.2285
40, 1, 0.5, 1, 16, 32, exactmanhat, 0.2334
40, 1, 0.6, 1, 8, 32, exactmanhat, 0.0394
40, 1, 0.2, 1, 12, 32, exactmanhat, 0.12035
40, 1, 0.2, 1, 8, 32, leastweight, 0.03675
40, 1, 0.4, 1, 16, 32, leastweight, 0.2289
40, 1, 0.7, 1, 12, 32, leastweight, 0.12065
40, 1, 0.4, 1, 8, 32, leastweight, 0.03705
40, 1, 0.9, 1, 8, 32, exactmanhat, 0.0375
40, 1, 0.8, 1, 12, 32, exactmanhat, 0.1238
40, 1, 0.3, 1, 8, 32, exactmanhat, 0.03455
40, 1, 0.0, 1, 12, 32, exactmanhat, 0.1199
40, 1, 0.8, 1, 16, 32, exactmanhat, 0.22765
40, 1, 0.6, 1, 12, 32, leastweight, 0.11965
40, 1, 0.2, 1, 16, 32, exactmanhat, 0.22665
40, 1, 0.4, 1, 12, 32, exactmanhat, 0.11735
40, 1, 0.8, 1, 8, 32, exactmanhat, 0.03545
40, 1, 0.5, 1, 12, 32, exactmanhat, 0.12715
40, 1, 0.3, 1, 8, 32, leastweight, 0.033
40, 1, 0.7, 1, 8, 32, exactmanhat, 0.0355
40, 1, 0.4, 1, 12, 32, leastweight, 0.1218
40, 1, 0.1, 1, 12, 32, exactmanhat, 0.123
40, 1, 0.5, 1, 8, 32, leastweight, 0.0355
40, 1, 0.5, 1, 12, 32, leastweight, 0.1203
40, 1, 0.6, 1, 16, 32, leastweight, 0.23225
40, 1, 0.7, 1, 16, 32, exactmanhat, 0.22435
40, 1, 0.3, 1, 12, 32, exactmanhat, 0.1179
40, 1, 0.0, 1, 16, 32, leastweight, 0.22155
40, 1, 0.6, 1, 8, 32, leastweight, 0.0348
40, 1, 0.1, 1, 12, 32, leastweight, 0.11905
40, 1, 0.5, 1, 16, 32, leastweight, 0.22935
40, 1, 0.3, 1, 16, 32, leastweight, 0.2336
40, 1, 0.9, 1, 8, 32, leastweight, 0.03755
40, 1, 0.5, 1, 8, 32, exactmanhat, 0.0383
40, 1, 0.3, 1, 12, 32, leastweight, 0.12025
40, 1, 0.8, 1, 16, 32, leastweight, 0.22815
40, 1, 0.9, 1, 12, 32, exactmanhat, 0.12235
40, 1, 0.0, 1, 12, 32, leastweight, 0.12295
40, 1, 0.6, 1, 12, 32, exactmanhat, 0.12765
40, 1, 0.4, 1, 8, 32, exactmanhat, 0.0355
40, 1, 0.7, 1, 16, 32, leastweight, 0.2325
40, 1, 0.0, 1, 8, 32, leastweight, 0.0358
