L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1, 0.1, 1, 8, 32, exactmanhat, 0.027
40, 1, 0.6, 1, 16, 32, exactmanhat, 0.2505
40, 1, 0.7, 1, 16, 32, exactmanhat, 0.2345
40, 1, 0.8, 1, 16, 32, exactmanhat, 0.2165
40, 1, 0.0, 1, 8, 32, exactmanhat, 0.034
40, 1, 0.4, 1, 12, 32, exactmanhat, 0.1245
40, 1, 0.4, 1, 16, 32, exactmanhat, 0.209
40, 1, 0.3, 1, 16, 32, exactmanhat, 0.227
40, 1, 0.2, 1, 8, 32, exactmanhat, 0.0315
40, 1, 0.5, 1, 16, 32, exactmanhat, 0.221
40, 1, 0.0, 1, 16, 32, exactmanhat, 0.2235
40, 1, 0.3, 1, 8, 32, exactmanhat, 0.037
40, 1, 0.1, 1, 12, 32, exactmanhat, 0.125
40, 1, 0.9, 1, 8, 32, exactmanhat, 0.0455
40, 1, 0.6, 1, 8, 32, exactmanhat, 0.039
40, 1, 0.5, 1, 12, 32, exactmanhat, 0.1195
40, 1, 0.5, 1, 8, 32, exactmanhat, 0.0305
40, 1, 0.2, 1, 16, 32, exactmanhat, 0.245
40, 1, 0.2, 1, 12, 32, exactmanhat, 0.113
40, 1, 0.8, 1, 8, 32, exactmanhat, 0.039
40, 1, 0.0, 1, 12, 32, exactmanhat, 0.1165
40, 1, 0.7, 1, 8, 32, exactmanhat, 0.028
40, 1, 0.9, 1, 12, 32, exactmanhat, 0.1145
40, 1, 0.9, 1, 16, 32, exactmanhat, 0.237
40, 1, 0.3, 1, 12, 32, exactmanhat, 0.1015
40, 1, 0.8, 1, 12, 32, exactmanhat, 0.119
40, 1, 0.1, 1, 16, 32, exactmanhat, 0.227
40, 1, 0.7, 1, 12, 32, exactmanhat, 0.1215
40, 1, 0.6, 1, 12, 32, exactmanhat, 0.1185
40, 1, 0.4, 1, 8, 32, exactmanhat, 0.0275
