anyons, CorrLen, exp len, q1 failure, q2 failure 
0.25, 15, 32, 5.016, 0.230116666667, 0.228466666667
0.75, 15, 32, 5.016, 0.201106666667, 0.201
1.25, 15, 32, 5.016, 0.203376666667, 0.20462
1.75, 15, 32, 5.016, 0.20889, 0.208693333333
2.25, 15, 32, 5.016, 0.198936666667, 0.199543333333
2.75, 15, 32, 5.016, 0.202026666667, 0.203203333333
3.25, 15, 32, 5.016, 0.19421, 0.19402
3.75, 15, 32, 5.016, 0.201666666667, 0.202146666667
4.25, 15, 32, 5.016, 0.199713333333, 0.20025
4.75, 15, 32, 5.016, 0.193256666667, 0.193926666667
5.25, 15, 32, 5.016, 0.195816666667, 0.196206666667
5.75, 15, 32, 5.016, 0.192893333333, 0.1944
6.25, 15, 32, 5.016, 0.19875, 0.200273333333
6.75, 15, 32, 5.016, 0.19022, 0.190556666667
7.25, 15, 32, 5.016, 0.191956666667, 0.192766666667
7.75, 15, 32, 5.016, 0.18775, 0.19084
8.25, 15, 32, 5.016, 0.189466666667, 0.18853
8.75, 15, 32, 5.016, 0.188093333333, 0.189603333333
9.25, 15, 32, 5.016, 0.189506666667, 0.190203333333
9.75, 15, 32, 5.016, 0.1845, 0.185703333333
10.25, 15, 32, 5.016, 0.18543, 0.186266666667
10.75, 15, 32, 5.016, 0.18315, 0.183586666667
11.25, 15, 32, 5.016, 0.183363333333, 0.184176666667
11.75, 15, 32, 5.016, 0.183516666667, 0.183566666667
12.25, 15, 32, 5.016, 0.18384, 0.184173333333
12.75, 15, 32, 5.016, 0.18394, 0.18474
13.25, 15, 32, 5.016, 0.1931, 0.19507
13.75, 15, 32, 5.016, 0.19171, 0.192846666667
14.25, 15, 32, 5.016, 0.1937, 0.195353333333
14.75, 15, 32, 5.016, 0.193983333333, 0.195273333333
15.25, 15, 32, 5.016, 0.192953333333, 0.19441
15.75, 15, 32, 5.016, 0.19047, 0.192226666667
16.25, 15, 32, 5.016, 0.189923333333, 0.190526666667
16.75, 15, 32, 5.016, 0.189466666667, 0.191006666667
17.25, 15, 32, 5.016, 0.19142, 0.193456666667
17.75, 15, 32, 5.016, 0.191233333333, 0.193396666667
18.25, 15, 32, 5.016, 0.186676666667, 0.188216666667
18.75, 15, 32, 5.016, 0.187603333333, 0.187406666667
19.25, 15, 32, 5.016, 0.18593, 0.18766
19.75, 15, 32, 5.016, 0.194303333333, 0.19535
20.25, 15, 32, 5.016, 0.194293333333, 0.195303333333
20.75, 15, 32, 5.016, 0.192986666667, 0.19534
21.25, 15, 32, 5.016, 0.19348, 0.195596666667
21.75, 15, 32, 5.016, 0.194846666667, 0.19556
22.25, 15, 32, 5.016, 0.19197, 0.19227
22.75, 15, 32, 5.016, 0.195376666667, 0.196963333333
23.25, 15, 32, 5.016, 0.194923333333, 0.196346666667
23.75, 15, 32, 5.016, 0.195486666667, 0.19659
24.25, 15, 32, 5.016, 0.194473333333, 0.19659
24.75, 15, 32, 5.016, 0.190333333333, 0.192273333333
25.25, 15, 32, 5.016, 0.19149, 0.191083333333
25.75, 15, 32, 5.016, 0.190433333333, 0.192
26.25, 15, 32, 5.016, 0.18987, 0.19069
26.75, 15, 32, 5.016, 0.189133333333, 0.1908
27.25, 15, 32, 5.016, 0.191063333333, 0.19178
27.75, 15, 32, 5.016, 0.19113, 0.193486666667
28.25, 15, 32, 5.016, 0.189316666667, 0.18899
28.75, 15, 32, 5.016, 0.189166666667, 0.189673333333
29.25, 15, 32, 5.016, 0.187566666667, 0.190283333333
29.75, 15, 32, 5.016, 0.193393333333, 0.193336666667
30.25, 15, 32, 5.016, 0.191563333333, 0.193443333333
30.75, 15, 32, 5.016, 0.1935, 0.1927
31.25, 15, 32, 5.016, 0.192076666667, 0.19409
31.75, 15, 32, 5.016, 0.20347, 0.205726666667
32.25, 15, 32, 5.016, 0.20418, 0.20523
32.75, 15, 32, 5.016, 0.203306666667, 0.205323333333
33.25, 15, 32, 5.016, 0.203536666667, 0.204936666667
33.75, 15, 32, 5.016, 0.198366666667, 0.201516666667
34.25, 15, 32, 5.016, 0.19898, 0.200136666667
34.75, 15, 32, 5.016, 0.198843333333, 0.20122
35.25, 15, 32, 5.016, 0.19363, 0.196343333333
35.75, 15, 32, 5.016, 0.19317, 0.195753333333
36.25, 15, 32, 5.016, 0.193446666667, 0.196473333333
36.75, 15, 32, 5.016, 0.19163, 0.195516666667
37.25, 15, 32, 5.016, 0.19284, 0.196943333333
37.75, 15, 32, 5.016, 0.19244, 0.197053333333
38.25, 15, 32, 5.016, 0.19135, 0.194793333333
38.75, 15, 32, 5.016, 0.192486666667, 0.19563
39.25, 15, 32, 5.016, 0.19175, 0.194436666667
39.75, 15, 32, 5.016, 0.197106666667, 0.199883333333
